split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
test,lut,0.2912241816520691,48.128021240234375,100294.984375,14.645068168640137,-25.356060028076172,-24.09614372253418,39.32670593261719,0.14979000393243433,296
test,ff,0.1555774211883545,46.137939453125,82561.328125,13.976057052612305,-383.6610412597656,-26.693950653076172,37.878700256347656,0.14979000393243433,296
test,dsp,-0.012931466102600098,97.62596893310547,1429.4635009765625,24.414522171020508,-40.88751220703125,-107.41240692138672,64.0252456665039,0.14979000393243433,296
test,bram,0.18095386028289795,52.4284553527832,38.0756721496582,-8.13245677947998,-15.170611381530762,-39.705223083496094,32.65040588378906,0.14979000393243433,296
test,cycles_max,0.20870983600616455,62.30729675292969,785735.6875,1.1415197849273682,-69.3472900390625,-89.1509017944336,37.812591552734375,0.14979000393243433,296
test,interval_max,0.23409360647201538,76.0902099609375,773207.9375,-1.6481343507766724,-163.8452911376953,-125.8397216796875,41.9834098815918,0.14979000393243433,296
exemplar,lut,-0.3485783338546753,104.89413452148438,31924.8828125,-275.4281005859375,-849.0513305664062,-473.73797607421875,-31.61020278930664,0.1464109709125114,400
exemplar,ff,0.02310311794281006,108.31581115722656,17127.79296875,-173.4742889404297,-2721.171875,-512.1085205078125,-4.048835754394531,0.1464109709125114,400
exemplar,dsp,-0.03389573097229004,94.960205078125,715.8035888671875,0.0,-41.40790557861328,-95.4385757446289,76.99957275390625,0.1464109709125114,400
exemplar,bram,-9.133792877197266,132.1687774658203,8.048792839050293,-400.82879638671875,-419.0614318847656,-617.851806640625,-171.2974395751953,0.1464109709125114,400
exemplar,cycles_max,-0.03148829936981201,112.290283203125,1398.6640625,-213.24288940429688,-1353.95068359375,-1761.9263916015625,-10.495430946350098,0.1464109709125114,400
exemplar,interval_max,0.15670031309127808,126.82372283935547,502.7222900390625,-199.5161590576172,-1759.3089599609375,-1227.271484375,19.140573501586914,0.1464109709125114,400
