epoch,train_loss,val_r2,val_r2_lut,val_r2_ff,val_r2_dsp,val_r2_bram,val_r2_cycles_max,val_r2_interval_max,val_resource_r2,val_timing_r2,val_smape,val_smape_lut,val_smape_ff,val_smape_dsp,val_smape_bram,val_smape_cycles_max,val_smape_interval_max,val_resource_smape,val_timing_smape,val_rmse,val_rmse_lut,val_rmse_ff,val_rmse_dsp,val_rmse_bram,val_rmse_cycles_max,val_rmse_interval_max,val_resource_rmse,val_timing_rmse,val_loss,train_seconds,validation_seconds,epoch_seconds,cumulative_training_seconds,train_seconds_per_sample,peak_gpu_memory_mb
1,0.6244025218160185,-0.0752863883972168,-0.11707806587219238,-0.11706435680389404,-0.07745563983917236,-0.05274927616119385,-0.04178357124328613,-0.04558742046356201,-0.09108683466911316,-0.04368549585342407,93.21481323242188,68.47118377685547,68.43949890136719,129.76336669921875,91.35987854003906,90.49911499023438,110.75582885742188,89.50848388671875,100.62747192382812,93928.5859375,133627.65625,72669.4609375,1998.6417236328125,31.428361892700195,177284.046875,177960.296875,52081.796875,177622.171875,0.5467829144362247,7.627296599006513,2.2824327910202555,9.90973140700953,9.91009061600198,0.10448351505488374,2219.8349609375
2,0.5346036626868051,-0.06948217004537582,-0.0470353364944458,-0.13248324394226074,-0.0753248929977417,-0.07036292552947998,-0.045301079750061035,-0.04638552665710449,-0.08130159974098206,-0.045843303203582764,90.53121185302734,66.276611328125,68.20134735107422,131.15036010742188,83.39749908447266,89.9539566040039,104.20745849609375,87.25645446777344,97.08070373535156,93363.2421875,129370.5,73169.2734375,1996.66455078125,31.690185546875,177583.09375,178028.203125,51142.03515625,177805.65625,0.5023698580987526,3.6571041539718863,1.5851203229976818,5.24222586498945,15.22497935401043,0.050097317177697075,2323.107421875
3,0.48264852319269963,-0.01873117685317993,0.04806625843048096,0.026201725006103516,-0.07065677642822266,-0.028111934661865234,-0.0420076847076416,-0.04587864875793457,-0.0061251819133758545,-0.043943166732788086,82.69051361083984,63.84339904785156,61.64890670776367,119.64752960205078,76.39274597167969,83.08103942871094,91.52944946289062,80.38314819335938,87.30524444580078,91419.4140625,123355.34375,67849.609375,1992.325927734375,31.058427810668945,177303.109375,177985.078125,48307.0859375,177644.09375,0.4405844049020247,3.6005385650205426,1.5540872910059988,5.154626814008225,20.51165862599737,0.04932244609617182,2323.107421875
4,0.4086458834066783,-0.0004911919240839779,0.061496853828430176,0.027310431003570557,-0.05916094779968262,0.05187809467315674,-0.04080760478973389,-0.043663978576660156,0.020381107926368713,-0.04223579168319702,77.98131561279297,63.08906173706055,62.39822006225586,113.15375518798828,67.93128967285156,73.91458892822266,87.40097045898438,76.64308166503906,80.65777587890625,91216.9921875,122482.0546875,67810.96875,1981.60107421875,29.825748443603516,177200.984375,177796.546875,48076.11328125,177498.765625,0.39705161072991113,3.7680033780052327,1.6888710279890802,5.456875814998057,26.008053148019826,0.05161648463020867,2323.107421875
5,0.3616579307676995,0.04021263122558594,0.1678754687309265,0.040351688861846924,-0.048270344734191895,0.16099143028259277,-0.035324931144714355,-0.044347524642944336,0.08023706078529358,-0.039836227893829346,71.97722625732422,59.82050323486328,59.70803451538086,110.38458251953125,53.24799346923828,72.13103485107422,76.57121276855469,70.79027557373047,74.35111999511719,89879.0703125,115331.71875,67354.8515625,1971.3870849609375,28.057079315185547,176733.65625,177854.75,46171.50390625,177294.203125,0.37178903818130493,4.124539962998824,1.586870500992518,5.711412053002277,31.769404340011533,0.05650054743834006,2356.48828125
6,0.33592750438272134,0.06408689171075821,0.2249619960784912,0.0742865800857544,-0.04195058345794678,0.198006272315979,-0.03008735179901123,-0.04069554805755615,0.11382606625556946,-0.03539144992828369,71.10514068603516,57.671939849853516,59.88581085205078,106.73257446289062,52.883445739746094,71.29104614257812,78.16604614257812,69.29344177246094,74.72854614257812,88880.1796875,111305.3671875,66153.234375,1965.435546875,27.431196212768555,176286.046875,177543.515625,44862.8671875,176914.78125,0.35639649629592896,3.5470330139796715,1.6281720309925731,5.175206113985041,37.02767395300907,0.04858949334218728,2356.48828125
7,0.3483545269868145,0.04463399574160576,0.11290210485458374,0.03562527894973755,-0.056548357009887695,0.21941989660263062,-0.011031508445739746,-0.03256344795227051,0.07784973084926605,-0.021797478199005127,77.57015991210938,61.93156433105469,58.812747955322266,111.95718383789062,56.83154296875,81.79696655273438,94.09095764160156,72.38325500488281,87.94396209716797,90017.2421875,119080.4296875,67520.515625,1979.155517578125,27.0625057220459,174647.859375,176848.484375,47151.7890625,175748.171875,0.38658109668529395,3.6773818619840313,1.5989713040180504,5.2763544310000725,42.35321448399918,0.050375093999781254,2490.74658203125
8,0.3193169007562611,0.07035332173109055,0.22198575735092163,0.05767560005187988,-0.04343390464782715,0.20802384614944458,0.0028489232063293457,-0.02498030662536621,0.11106282472610474,-0.011065691709518433,73.45880126953125,58.23265838623047,58.06180953979492,102.98616790771484,56.89714050292969,73.41493225097656,91.16011047363281,69.04444885253906,82.28752136230469,88316.6328125,111518.875,66744.125,1966.8341064453125,27.259340286254883,173444.84375,176197.90625,45064.2734375,174821.375,0.3522693406451832,3.6920793619938195,1.6711678899882827,5.363249432994053,47.721973739011446,0.05057642961635369,2490.74658203125
9,0.3163483008129956,0.10938161611557007,0.2539942264556885,0.1864398717880249,-0.02622997760772705,0.2635786533355713,0.002431511878967285,-0.023924589157104492,0.1694456934928894,-0.010746538639068604,72.15662384033203,61.49488830566406,54.9171257019043,103.09162139892578,62.66793441772461,67.65007019042969,83.11812591552734,70.54289245605469,75.38409423828125,87130.40625,109200.765625,62016.55859375,1950.5523681640625,26.28587532043457,173481.140625,176107.125,43298.5390625,174794.125,0.33570993036934826,3.974528201011708,1.7586872529936954,5.733217075001448,53.475729562022025,0.054445591794680934,2490.74658203125
10,0.3098190520724205,0.14374999701976776,0.2721676826477051,0.3080112934112549,-0.05531477928161621,0.22910076379776,0.08652591705322266,0.02200913429260254,0.18849124014377594,0.0542675256729126,73.4765396118164,58.123600006103516,52.15253829956055,111.41976165771484,46.02225112915039,77.77975463867188,95.36131286621094,66.92953491210938,86.5705337524414,84197.1015625,107862.4453125,57195.5625,1977.9998779296875,26.8941650390625,166008.0,172111.6875,41765.72265625,169059.84375,0.3531662045103131,3.776116088993149,1.5974701209925115,5.373587412002962,58.852731098013464,0.0517276176574404,2490.74658203125
