split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
test,dense_latency,bram,0,0.0,0.1,90,8.748399300707711e-05,0.0,8.748399300707711e-05,8.748399300707711e-05
test,dense_resource,dsp,0,0.0,0.1,24,1.694882909456889e-05,0.0,1.694882909456889e-05,6.894438953722937e-06
test,dense_resource,dsp,9,0.9,1.0,35,1.0,1.0,0.0,6.894438953722937e-06
test,dense_resource,bram,0,0.0,0.1,12,9.070616215467453e-06,0.0,9.070616215467453e-06,1.8448710946713463e-06
test,dense_resource,bram,9,0.9,1.0,47,1.0,1.0,0.0,1.8448710946713463e-06
test,rule4ml,dsp,0,0.0,0.1,34,0.00031693455050973334,0.0,0.00031693455050973334,0.010010036489655939
test,rule4ml,dsp,7,0.7,0.8,1,0.71484375,1.0,0.28515625,0.010010036489655939
test,rule4ml,dsp,9,0.9,1.0,89,0.9993855337078652,0.9887640449438202,0.010621488764045006,0.010010036489655939
test,rule4ml,bram,0,0.0,0.1,2,0.04541015625,0.0,0.04541015625,0.015664377520161216
test,rule4ml,bram,8,0.8,0.9,1,0.8828125,0.0,0.8828125,0.015664377520161216
test,rule4ml,bram,9,0.9,1.0,121,0.99974173553719,0.9917355371900827,0.008006198347107363,0.015664377520161216
