split,kernel_family,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
test,all,lut,0.6414251327514648,27.128246307373047,77015.484375,-3.2448601722717285,-67.08541870117188,-24.1657772064209,15.42949104309082,0.036005875811143104,593
test,all,ff,0.8669844269752502,26.551082611083984,25399.1171875,-3.6300196647644043,-9.710304260253906,-21.709247589111328,16.524944305419922,0.036005875811143104,593
test,all,dsp,0.8118612766265869,24.389663696289062,483.68707275390625,0.0,-9.817962646484375,-15.7589693069458,10.608237266540527,0.036005875811143104,593
test,all,bram,0.6010598540306091,29.64954948425293,27.09779930114746,0.0,-4.939481735229492,-9.862541198730469,19.466157913208008,0.036005875811143104,593
test,all,cycles_max,0.42845815420150757,32.2033805847168,715852.0,-11.381589889526367,-26.972705841064453,-30.788076400756836,6.8984761238098145,0.036005875811143104,593
test,all,interval_max,0.3518826365470886,28.695396423339844,762448.3125,-6.82307767868042,-6.94008731842041,-20.673999786376953,11.742984771728516,0.036005875811143104,593
test,2layer,lut,0.2130051851272583,23.264375686645508,5969.8955078125,5.978612899780273,2.6305787563323975,-10.692533493041992,20.955448150634766,0.036005875811143104,125
test,2layer,ff,0.2565048336982727,20.87256622314453,3268.01708984375,0.953080952167511,0.11630083620548248,-17.187986373901367,17.93741798400879,0.036005875811143104,125
test,2layer,dsp,0.23136240243911743,22.705501556396484,3.688063144683838,0.0,10.271527290344238,0.0,24.406164169311523,0.036005875811143104,125
test,2layer,bram,-0.138197660446167,26.85888671875,2.26727557182312,2.437563896179199,6.989360332489014,-10.539692878723145,18.076169967651367,0.036005875811143104,125
test,2layer,cycles_max,0.8219139575958252,18.454090118408203,856.1611328125,-18.441850662231445,-19.749229431152344,-30.39141845703125,-8.16915225982666,0.036005875811143104,125
test,2layer,interval_max,0.9180032014846802,14.347728729248047,354.44073486328125,-15.032960891723633,-15.288351058959961,-23.202106475830078,-7.5606689453125,0.036005875811143104,125
test,3layer,lut,0.3730940818786621,22.779460906982422,8132.88330078125,3.638490676879883,1.3453705310821533,-11.150360107421875,22.244407653808594,0.036005875811143104,116
test,3layer,ff,0.30867719650268555,19.087400436401367,4649.333984375,4.564279556274414,2.6654744148254395,-8.43122673034668,16.783334732055664,0.036005875811143104,116
test,3layer,dsp,0.40155959129333496,23.5880069732666,5.019371509552002,0.0,7.198868274688721,-0.8905455470085144,21.725444793701172,0.036005875811143104,116
test,3layer,bram,-0.06506752967834473,27.18978500366211,6.569657325744629,-0.9618417024612427,5.02855110168457,-12.781085968017578,10.916420936584473,0.036005875811143104,116
test,3layer,cycles_max,0.8680292963981628,14.817934036254883,1002.6583251953125,-12.065631866455078,-13.587202072143555,-22.859041213989258,-1.8339250087738037,0.036005875811143104,116
test,3layer,interval_max,0.8966270685195923,15.818940162658691,391.27386474609375,-17.929859161376953,-16.828754425048828,-22.918663024902344,-11.41884708404541,0.036005875811143104,116
test,conv1d,lut,0.7859434485435486,17.949567794799805,5000.42041015625,-14.772418022155762,-16.85582733154297,-28.55698013305664,-2.892096996307373,0.036005875811143104,55
test,conv1d,ff,0.7851259112358093,14.384026527404785,7476.78759765625,-3.9553470611572266,-6.529377460479736,-17.86760711669922,5.5725555419921875,0.036005875811143104,55
test,conv1d,dsp,0.8016965985298157,15.673910140991211,1.0428589582443237,0.0,-9.642145156860352,-21.121931076049805,0.0,0.036005875811143104,55
test,conv1d,bram,0.47793036699295044,37.012760162353516,8.028800010681152,12.86512279510498,9.32446002960205,-17.49161148071289,41.05009078979492,0.036005875811143104,55
