split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
test,lut,0.590861439704895,39.244876861572266,66832.6640625,0.7618650794029236,-137.1278076171875,-31.929731369018555,26.65033721923828,0.08947888502041765,294
test,ff,0.6456294059753418,43.83104705810547,47446.609375,10.841766357421875,-38.20545196533203,-21.270004272460938,35.30458068847656,0.08947888502041765,294
test,dsp,0.6858693361282349,35.84169387817383,720.9976196289062,0.0,-55.600341796875,-10.362534523010254,20.722030639648438,0.08947888502041765,294
test,bram,0.5177159309387207,39.91496276855469,29.330686569213867,0.0,-59.72947311401367,-13.782483100891113,25.194766998291016,0.08947888502041765,294
test,cycles_max,0.7783548831939697,40.418331146240234,486981.34375,7.935983657836914,-7.771630764007568,-25.393001556396484,36.172019958496094,0.08947888502041765,294
test,interval_max,0.8706563711166382,51.90281677246094,372078.84375,28.459449768066406,14.27688217163086,-8.600301742553711,48.083717346191406,0.08947888502041765,294
exemplar,lut,-1.612339973449707,93.93037414550781,44433.04296875,-161.65093994140625,-340.61444091796875,-328.88079833984375,-47.526187896728516,0.06038539111748833,400
exemplar,ff,-0.7530204057693481,96.04177856445312,22944.07421875,-156.45452880859375,-1308.01806640625,-531.6759643554688,-6.7972331047058105,0.06038539111748833,400
exemplar,dsp,0.3309193253517151,86.0689697265625,575.8306274414062,0.0,-230.08091735839844,-192.27659606933594,36.72051239013672,0.06038539111748833,400
exemplar,bram,-21.1864070892334,123.52974700927734,11.909353256225586,-463.2803039550781,-594.4996337890625,-805.0398559570312,-108.84504699707031,0.06038539111748833,400
exemplar,cycles_max,0.2530837655067444,105.24282836914062,1190.1925048828125,-134.68560791015625,-778.54150390625,-1103.0531005859375,23.55457878112793,0.06038539111748833,400
exemplar,interval_max,-0.03583884239196777,115.45984649658203,557.1642456054688,-52.59743881225586,-406.57647705078125,-339.46636962890625,67.61270904541016,0.06038539111748833,400
