scale_percent,split,comparator,high_level_minus_comparator,seed_std,ci_low,ci_high
25,test,cdfg_gatv2,3.313032643384229,1.2279197217262676,0.5092936201780807,6.180663797215484
25,test,rbf_hurdle,5.103556739435876,1.227919721726267,2.3353672628316944,8.025872225495641
25,exemplar,cdfg_gatv2,-6.9000516531027944,2.2303503958443245,-10.525586860022019,-3.044476352038418
25,exemplar,rbf_hurdle,-9.636148976998967,2.2303503958443254,-14.158794286473837,-5.092777431431131
50,test,cdfg_gatv2,-0.8159768955735159,0.6497833906203503,-3.574409804532556,2.023736212761929
50,test,rbf_hurdle,3.3368524703503994,0.6497833906203504,0.9275090749893656,5.721933031452424
50,exemplar,cdfg_gatv2,-12.114569006066219,2.4225247741479903,-15.861111757422284,-8.379438090575666
50,exemplar,rbf_hurdle,-2.8063679487015105,2.42252477414799,-7.312003293422079,1.819434737769815
100,test,cdfg_gatv2,-3.2130811723883546,0.9018938454321861,-5.840231871976512,-0.47633830723096826
100,test,rbf_hurdle,2.421635738374506,0.9018938454321868,0.08691671446661019,4.811185364824688
100,exemplar,cdfg_gatv2,-8.479389571548898,5.228663731890439,-13.80756636860716,-2.5365203415290494
100,exemplar,rbf_hurdle,6.962787640072352,5.228663731890438,1.582630330799697,13.005473919793538
200,test,cdfg_gatv2,-5.276718692032229,0.3859283740452066,-7.632222805595223,-2.8993836095043006
200,test,rbf_hurdle,-0.5254933601455636,0.3859283740452071,-2.541249372034518,1.517378186007238
200,exemplar,cdfg_gatv2,-6.215816135557796,2.444762508090805,-9.79346729974039,-2.5776342416424414
200,exemplar,rbf_hurdle,-3.5176313160040733,2.4447625080908053,-7.398228185869488,0.4877241101326683
50,test,high_level_scale25,-5.813436374670902,0.6031998018412685,-7.34963008540655,-4.305152247721153
100,test,high_level_scale50,-4.928724322814387,0.7689891450330802,-6.4050915707795815,-3.523523470941772
200,test,high_level_scale100,-5.033996121418996,0.8464228183557444,-6.6405347592617,-3.438719077192549
50,exemplar,high_level_scale25,-6.823005822387853,1.1850972935902364,-8.612579753849422,-5.024052160388633
100,exemplar,high_level_scale50,0.11659958812365384,5.9057649474896605,-5.344912346401463,5.920669452892956
200,exemplar,high_level_scale100,-9.689253511977078,7.371982334793173,-17.475571382118225,-3.850173458018527
