encoder,scale_percent,seed,split,macro_smape,best_epoch,best_validation_smape,wall_seconds
gatv2,25,42,test,41.25430997212728,155,43.18413543701172,30.061272817001736
gatv2,25,42,exemplar,95.19187291463216,155,43.18413543701172,30.061272817001736
gatv2,25,43,test,39.65197563171387,193,41.63874816894531,37.93644179900002
gatv2,25,43,exemplar,99.14109166463216,193,41.63874816894531,37.93644179900002
gatv2,25,44,test,38.84138774871826,295,39.118934631347656,53.522622099997534
gatv2,25,44,exemplar,95.37033208211263,295,39.118934631347656,53.522622099997534
gatv2,50,42,test,34.75008487701416,148,35.366180419921875,42.29071576899878
gatv2,50,42,exemplar,89.59081141153972,148,35.366180419921875,42.29071576899878
gatv2,50,43,test,34.10673681894938,207,34.25169372558594,57.513825185000314
gatv2,50,43,exemplar,92.2405891418457,207,34.25169372558594,57.513825185000314
gatv2,50,44,test,33.4505402247111,273,33.77828598022461,69.94560288399953
gatv2,50,44,exemplar,87.40287907918294,273,33.77828598022461,69.94560288399953
gatv2,100,42,test,30.107133547465008,124,30.2623291015625,59.995667233997665
gatv2,100,42,exemplar,95.89853986104329,124,30.2623291015625,59.995667233997665
gatv2,100,43,test,28.30705165863037,199,28.99123764038086,87.4886242040011
gatv2,100,43,exemplar,86.78564198811848,199,28.99123764038086,87.4886242040011
gatv2,100,44,test,29.107007026672363,206,29.760961532592773,88.11782985599712
gatv2,100,44,exemplar,86.89990361531575,206,29.760961532592773,88.11782985599712
gatv2,200,42,test,24.09594504038493,202,24.791418075561523,169.00079497999832
gatv2,200,42,exemplar,77.86761220296223,202,24.791418075561523,169.00079497999832
gatv2,200,43,test,23.777568499247234,258,23.436256408691406,205.49789939699986
gatv2,200,43,exemplar,82.73639170328777,258,23.436256408691406,205.49789939699986
gatv2,200,44,test,24.54568926493327,176,25.412246704101562,147.371513443999
gatv2,200,44,exemplar,79.91232681274414,176,25.412246704101562,147.371513443999
