scale_percent,split,target,mean,std
25,exemplar,bram,80.6069819132487,4.195305304344721
25,exemplar,cycles_max,89.85404713948567,2.7644879298104565
25,exemplar,dsp,115.28623962402344,5.684196638075558
25,exemplar,ff,94.52495829264323,8.458985101218536
25,exemplar,interval_max,120.40748087565105,3.0559363575050593
25,exemplar,lut,78.72688547770183,8.826785442459006
25,test,bram,41.262027740478516,1.9588931972040529
25,test,cycles_max,42.50588353474935,0.36350914436021164
25,test,dsp,35.23174540201823,4.048172928815723
25,test,ff,34.345428466796875,0.2635783639245238
25,test,interval_max,53.98561986287435,1.779389300079202
25,test,lut,32.1646416982015,0.9221877626223329
50,exemplar,bram,77.533447265625,5.713530656366449
50,exemplar,cycles_max,88.12388610839844,1.9306098870571637
50,exemplar,dsp,106.09670003255208,7.80736256265842
50,exemplar,ff,84.59288024902344,4.614016158276457
50,exemplar,interval_max,119.33565012613933,4.067669973751597
50,exemplar,lut,62.78599548339844,8.121651042449399
50,test,bram,34.24926630655924,2.398483455836997
50,test,cycles_max,35.849554697672524,0.19890760061824875
50,test,dsp,32.25538698832194,0.7308248062403915
50,test,ff,29.191694895426433,0.6672113289750458
50,test,interval_max,46.7906125386556,1.2020399601011114
50,test,lut,26.278208414713543,1.0075998238108919
100,exemplar,bram,82.01114145914714,18.2498908499633
100,exemplar,cycles_max,87.40085856119792,3.273125881556465
100,exemplar,dsp,108.8458023071289,5.00888587940854
100,exemplar,ff,82.18109130859375,7.2168006922127175
100,exemplar,interval_max,117.42701212565105,7.238522208591197
100,exemplar,lut,61.30226516723633,8.607551138687253
100,test,bram,26.005299886067707,0.29461050992901117
100,test,cycles_max,32.200435638427734,1.6961681395647272
100,test,dsp,25.610387166341145,0.3441458401284882
100,test,ff,27.327924728393555,0.7638868784154779
100,test,interval_max,40.51449330647787,2.5035858130737165
100,test,lut,23.383843739827473,1.0790651311019142
200,exemplar,bram,76.35788218180339,7.177423206603766
200,exemplar,cycles_max,78.66263834635417,4.281760778462999
200,exemplar,dsp,94.66449228922527,0.6064132629906712
200,exemplar,ff,70.97674051920573,6.360661600763472
200,exemplar,interval_max,104.40033467610677,0.6680993958480571
200,exemplar,lut,55.97057342529297,5.5256582648372525
200,test,bram,21.489704767862957,1.4559963541748566
200,test,cycles_max,25.52430597941081,0.803774631275943
200,test,dsp,21.24639828999837,0.23930738426029874
200,test,ff,24.098122278849285,0.5808986918492905
200,test,interval_max,33.61683019002279,0.39429438015810264
200,test,lut,18.863044102986652,0.24287907723625055
