model,split,macro_smape,macro_r2,best_epoch,best_validation_smape
H0,test,24.553047169612594,0.6350084285634641,189,24.523544311523438
H0,exemplar,74.81409093070084,0.24530267029281713,189,24.523544311523438
program_full,test,28.10288651784261,0.6169452468554179,98,27.203908920288086
program_full,exemplar,79.07254219055176,0.11645857493082683,98,27.203908920288086
