split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
test,lut,0.6023188829421997,40.819366455078125,65890.2421875,-10.820978164672852,-830.578125,-59.3589973449707,14.240525245666504,0.06080894093195509,294
test,ff,0.5694589018821716,43.425079345703125,52297.828125,-10.039632797241211,-104.20201110839844,-59.44195556640625,18.313941955566406,0.06080894093195509,294
test,dsp,0.25048577785491943,39.516658782958984,1113.7010498046875,0.0,-75.69036865234375,-29.35413932800293,17.00640106201172,0.06080894093195509,294
test,bram,0.5051579475402832,40.24999237060547,29.710098266601562,0.0,-35.28139877319336,-28.43314552307129,22.128116607666016,0.06080894093195509,294
test,cycles_max,0.282423198223114,53.66971969604492,876228.6875,2.7444324493408203,-33.429073333740234,-50.68010711669922,39.591156005859375,0.06080894093195509,294
test,interval_max,0.29871857166290283,57.773094177246094,866380.5,13.993371963500977,-17.660289764404297,-50.06093978881836,43.949951171875,0.06080894093195509,294
exemplar,lut,-5.995358467102051,120.82610321044922,72710.34375,-369.51361083984375,-1992.9931640625,-938.0601806640625,-183.98202514648438,0.06099359189749521,400
exemplar,ff,-6.12366247177124,124.85832214355469,46251.80859375,-409.8509521484375,-11048.1728515625,-1534.34326171875,-130.2531280517578,0.06099359189749521,400
exemplar,dsp,0.22666513919830322,106.17927551269531,619.0693969726562,-13.135774612426758,-366.27679443359375,-395.99639892578125,66.66667175292969,0.06099359189749521,400
exemplar,bram,-7.313845634460449,105.1833724975586,7.290304660797119,-176.1397705078125,-265.07196044921875,-395.65234375,-31.327302932739258,0.06099359189749521,400
exemplar,cycles_max,-0.2857937812805176,112.581298828125,1561.589599609375,-250.19088745117188,-1416.1700439453125,-1448.294189453125,-45.14878463745117,0.06099359189749521,400
exemplar,interval_max,-0.2886528968811035,126.92974853515625,621.448486328125,-438.38134765625,-3286.208740234375,-1380.1533203125,-21.075607299804688,0.06099359189749521,400
