split,kernel_family,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
test,all,lut,0.5557953119277954,41.03353500366211,69637.8203125,-7.374051094055176,-350.0151062011719,-52.22089767456055,20.131547927856445,0.08416231305103433,294
test,all,ff,0.6719211339950562,40.045860290527344,45652.59375,-12.108015060424805,-126.2920150756836,-49.937538146972656,12.023575782775879,0.08416231305103433,294
test,all,dsp,0.600792407989502,50.7822151184082,812.7894897460938,-13.673799514770508,-25.196531295776367,-35.688594818115234,20.400033950805664,0.08416231305103433,294
test,all,bram,0.5124443173408508,46.255802154541016,29.490550994873047,-12.648218154907227,-22.185335159301758,-43.60599899291992,15.511774063110352,0.08416231305103433,294
test,all,cycles_max,0.4435669183731079,46.3690299987793,771595.5625,0.4568995535373688,-13.388751983642578,-42.90459060668945,37.73590087890625,0.08416231305103433,294
test,all,interval_max,0.6129533052444458,51.219207763671875,643641.75,10.115814208984375,-16.46693229675293,-47.637001037597656,39.580482482910156,0.08416231305103433,294
test,2layer,lut,0.11069577932357788,28.535249710083008,6536.8603515625,-8.007061958312988,-19.515026092529297,-37.48058319091797,12.701947212219238,0.08416231305103433,52
test,2layer,ff,-0.05285048484802246,28.47941780090332,4137.705078125,-16.38047218322754,-22.9481201171875,-42.055999755859375,10.365320205688477,0.08416231305103433,52
test,2layer,dsp,0.3406592011451721,32.22052764892578,3.4491190910339355,-0.9433656930923462,-9.496050834655762,-32.907691955566406,7.006018161773682,0.08416231305103433,52
test,2layer,bram,-0.020594000816345215,33.31013488769531,2.0617258548736572,-18.211936950683594,-14.530988693237305,-34.810855865478516,5.5642008781433105,0.08416231305103433,52
test,2layer,cycles_max,0.11806899309158325,35.560874938964844,1973.6436767578125,6.5284199714660645,-8.664124488830566,-23.977622985839844,34.226539611816406,0.08416231305103433,52
test,2layer,interval_max,-0.10884332656860352,39.180946350097656,1288.1495361328125,22.691776275634766,13.370220184326172,6.288997173309326,43.97135543823242,0.08416231305103433,52
test,3layer,lut,0.1387873888015747,29.76211929321289,9438.1845703125,-3.2458369731903076,-15.413487434387207,-40.926971435546875,20.987506866455078,0.08416231305103433,55
test,3layer,ff,-0.19640040397644043,26.948272705078125,6140.18359375,-12.584829330444336,-23.858245849609375,-47.52788543701172,8.90364933013916,0.08416231305103433,55
test,3layer,dsp,0.1441277265548706,47.05214309692383,7.442355632781982,-12.081607818603516,-1.3276222944259644,-16.98654556274414,23.978641510009766,0.08416231305103433,55
test,3layer,bram,-0.06489288806915283,45.493682861328125,9.21804141998291,-12.161649703979492,-7.813304901123047,-50.714359283447266,18.27739906311035,0.08416231305103433,55
test,3layer,cycles_max,0.03459733724594116,39.22549057006836,3032.599853515625,1.2259384393692017,-1.122846245765686,-33.918968200683594,39.04088592529297,0.08416231305103433,55
test,3layer,interval_max,0.18628549575805664,42.24757385253906,1207.1768798828125,14.675639152526855,-3.76168155670166,-45.353187561035156,40.84900665283203,0.08416231305103433,55
test,conv1d,lut,0.7241004705429077,22.083724975585938,5501.77392578125,-1.4686063528060913,-11.009045600891113,-37.84111785888672,12.006512641906738,0.08416231305103433,27
test,conv1d,ff,0.5869528651237488,18.500398635864258,10447.4150390625,2.355567216873169,0.6702957153320312,-11.600717544555664,11.632299423217773,0.08416231305103433,27
test,conv1d,dsp,0.7706948518753052,30.332014083862305,0.9813993573188782,-20.501981735229492,-20.738204956054688,-31.294607162475586,-11.35987663269043,0.08416231305103433,27
test,conv1d,bram,0.2874460220336914,46.86892318725586,9.649148941040039,-3.4753668308258057,-21.719345092773438,-57.92333221435547,26.580467224121094,0.08416231305103433,27
test,conv1d,cycles_max,0.17248713970184326,48.47651672363281,145052.875,22.42552947998047,7.567208766937256,-7.104729652404785,47.826904296875,0.08416231305103433,27
test,conv1d,interval_max,0.20618987083435059,50.70494842529297,142068.234375,32.17482376098633,11.56214427947998,-2.6947829723358154,48.91643524169922,0.08416231305103433,27
test,conv2d,lut,0.8014715909957886,28.456815719604492,21654.720703125,-0.5012533664703369,1.7497072219848633,-12.089426040649414,32.14765548706055,0.08416231305103433,12
test,conv2d,ff,0.6209157705307007,29.906234741210938,114018.9375,9.411516189575195,11.561698913574219,-2.140998125076294,31.825960159301758,0.08416231305103433,12
test,conv2d,dsp,0.3411169648170471,56.91410827636719,14.48571491241455,-38.98566818237305,-36.03403854370117,-56.10476303100586,-17.17868423461914,0.08416231305103433,12
test,conv2d,bram,0.46739447116851807,44.89631652832031,58.11600875854492,-23.432952880859375,-20.59364891052246,-54.67843246459961,13.627464294433594,0.08416231305103433,12
test,conv2d,cycles_max,0.1712874174118042,59.67271423339844,3812991.25,18.774951934814453,15.734314918518066,-22.625560760498047,64.2313003540039,0.08416231305103433,12
test,conv2d,interval_max,0.42405766248703003,57.833187103271484,3178726.75,7.810028553009033,-5.816364288330078,-52.323326110839844,50.165496826171875,0.08416231305103433,12
test,dense_latency,lut,0.39534658193588257,43.883323669433594,98128.109375,6.262016296386719,-37.252960205078125,-51.038352966308594,26.939422607421875,0.08416231305103433,54
test,dense_latency,ff,0.6842373609542847,47.454776763916016,68112.5625,-5.973946571350098,-108.18863677978516,-74.4296875,15.69476318359375,0.08416231305103433,54
test,dense_latency,dsp,0.8821317553520203,38.66978073120117,641.5482788085938,-20.834941864013672,-15.124007225036621,-27.444650650024414,7.778417587280273,0.08416231305103433,54
test,dense_latency,bram,-43638980.0,35.79807662963867,0.3103812336921692,-21.22686767578125,-24.517148971557617,-37.076969146728516,-10.79339599609375,0.08416231305103433,54
test,dense_latency,cycles_max,0.3466796278953552,45.96152114868164,143.2571563720703,-37.12892150878906,-47.803565979003906,-106.91481018066406,12.534112930297852,0.08416231305103433,54
test,dense_latency,interval_max,0.5329756736755371,41.686317443847656,20.654346466064453,-26.505268096923828,-32.749908447265625,-59.53523254394531,12.286900520324707,0.08416231305103433,54
test,dense_resource,lut,0.3473854660987854,30.33607292175293,100057.40625,-9.079458236694336,-58.95100784301758,-39.77140808105469,4.5895676612854,0.08416231305103433,33
