split,kernel_family,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
test,all,lut,0.20610469579696655,44.36374282836914,85017.375,-24.703218460083008,-67.41717529296875,-61.361270904541016,9.327896118164062,0.026807394889427672,81
test,all,ff,0.5924390554428101,44.80529022216797,49096.484375,-9.49940013885498,-72.64308166503906,-52.86362838745117,17.837936401367188,0.026807394889427672,81
test,all,dsp,0.47310078144073486,40.938812255859375,669.4090576171875,0.0,-46.499549865722656,-62.37497329711914,0.0,0.026807394889427672,81
test,all,bram,0.3011931777000427,37.835655212402344,34.37625503540039,0.0,-41.1025505065918,-18.68659210205078,16.35771942138672,0.026807394889427672,81
test,all,cycles_max,0.24656277894973755,42.007293701171875,877493.875,7.67140531539917,-18.06360626220703,-22.68085479736328,29.68016242980957,0.026807394889427672,81
test,all,interval_max,0.26160645484924316,44.94584274291992,868901.0,10.977851867675781,-20.350906372070312,-44.32790756225586,23.20927619934082,0.026807394889427672,81
test,2layer,lut,-0.11503994464874268,26.23140525817871,5319.50732421875,-10.713491439819336,-24.940746307373047,-33.01597595214844,7.972980499267578,0.026807394889427672,14
test,2layer,ff,-0.055997490882873535,24.534814834594727,3558.767333984375,-7.181589126586914,-17.601816177368164,-32.03926086425781,3.995110511779785,0.026807394889427672,14
test,2layer,dsp,0.26994287967681885,35.00995635986328,2.2013494968414307,-23.650318145751953,-31.829660415649414,-73.24419403076172,-0.47719240188598633,0.026807394889427672,14
test,2layer,bram,0.012046873569488525,23.45918846130371,0.8125981092453003,0.8758163452148438,1.4337940216064453,-16.06441307067871,13.900169372558594,0.026807394889427672,14
test,2layer,cycles_max,0.5494307279586792,18.56839942932129,1018.2178344726562,17.056270599365234,10.136045455932617,6.042469024658203,18.203872680664062,0.026807394889427672,14
test,2layer,interval_max,0.590713381767273,17.958934783935547,565.9015502929688,16.531803131103516,15.392967224121094,11.30974006652832,19.319021224975586,0.026807394889427672,14
test,3layer,lut,0.01798003911972046,30.950780868530273,10994.76953125,-12.695392608642578,-13.610298156738281,-31.579744338989258,12.771760940551758,0.026807394889427672,14
test,3layer,ff,-0.03551149368286133,23.892839431762695,5599.42431640625,-6.732096195220947,-7.209348201751709,-23.982858657836914,11.089073181152344,0.026807394889427672,14
