scale_percent,actual_train_samples,split,macro_smape,macro_r2,best_epoch,best_validation_smape,tensor_source_revision
25,337,exemplar,103.46781539916992,-0.5132502019405365,226,35.234962463378906,791a7e12807cd55200a6432239bb39218a687ff2
50,672,exemplar,101.85933049519856,-9.04720534880956,145,34.60779571533203,791a7e12807cd55200a6432239bb39218a687ff2
100,1342,exemplar,98.34075291951497,-0.7375681400299072,116,31.391353607177734,791a7e12807cd55200a6432239bb39218a687ff2
200,2728,exemplar,86.38792292277019,-0.9000056187311808,103,27.822265625,791a7e12807cd55200a6432239bb39218a687ff2
25,337,test,36.602858225504555,0.6328066289424896,226,35.234962463378906,791a7e12807cd55200a6432239bb39218a687ff2
50,672,test,34.91843223571777,0.601536750793457,145,34.60779571533203,791a7e12807cd55200a6432239bb39218a687ff2
100,1342,test,32.38681252797445,0.7029899458090464,116,31.391353607177734,791a7e12807cd55200a6432239bb39218a687ff2
200,2728,test,29.416453043619793,0.7435562908649445,103,27.822265625,791a7e12807cd55200a6432239bb39218a687ff2
