epoch,train_loss,val_r2,val_r2_lut,val_r2_ff,val_r2_dsp,val_r2_bram,val_r2_cycles_max,val_r2_interval_max,val_resource_r2,val_timing_r2,val_smape,val_smape_lut,val_smape_ff,val_smape_dsp,val_smape_bram,val_smape_cycles_max,val_smape_interval_max,val_resource_smape,val_timing_smape,val_rmse,val_rmse_lut,val_rmse_ff,val_rmse_dsp,val_rmse_bram,val_rmse_cycles_max,val_rmse_interval_max,val_resource_rmse,val_timing_rmse,val_loss,train_seconds,validation_seconds,epoch_seconds,cumulative_training_seconds,learning_rate,next_learning_rate,train_seconds_per_sample,data_wait_seconds,compute_submission_seconds,data_wait_fraction,mean_pre_clip_gradient_norm,peak_gpu_memory_mb
1,0.37575727701187134,0.10029590129852295,0.21069371700286865,0.09171921014785767,0.007733285427093506,0.2451661229133606,0.016392171382904053,0.030070900917053223,0.1388280838727951,0.023231536149978638,68.73809814453125,55.19999313354492,57.22064208984375,111.76647186279297,44.12433624267578,68.2155990600586,75.90155029296875,67.0778579711914,72.05857849121094,368622.90625,128416.2265625,76112.171875,1790.972900390625,30.20368194580078,1006116.125,999271.6875,51587.39453125,1002693.875,0.30769386887550354,59.2260381240003,9.861931415999607,69.08797119700012,69.55138096200017,0.001,0.001,0.021599576266958534,0.5986947959972895,58.625446653002655,0.010108965387245795,1.5912267142950103,431.9501953125
2,0.2899308502674103,0.15778928995132446,0.27300524711608887,0.13334918022155762,0.1412893533706665,0.28864723443984985,0.03348898887634277,0.07695573568344116,0.2090727537870407,0.05522236227989197,65.3972396850586,52.630062103271484,57.44483947753906,93.23075866699219,42.43040084838867,68.2292251586914,78.41816711425781,61.434017181396484,73.32369995117188,361906.75,123243.140625,74347.453125,1666.089111328125,29.320858001708984,997333.75,974821.0,49821.50390625,986077.375,0.2808374762535095,58.372191306999866,9.503325408999899,67.87551796499974,137.45793479300028,0.001,0.001,0.021288180637126137,0.5575569190027636,57.81238752199761,0.009552123517375203,1.9296238235262937,431.9501953125
3,0.2654874622821808,0.17870371043682098,0.2978256344795227,0.2566474676132202,0.12563616037368774,0.2908589243888855,0.03702068328857422,0.06423330307006836,0.24274204671382904,0.05062699317932129,58.778804779052734,50.94169998168945,53.93899154663086,83.44634246826172,40.48555374145508,59.20497131347656,64.65524291992188,57.20314407348633,61.93010711669922,361452.25,121121.0390625,68855.9453125,1681.2059326171875,29.275243759155273,995509.9375,981516.0,47921.8671875,988513.0,0.2488574981689453,58.90784718999976,9.78460714699986,68.69245530299986,206.1770715470002,0.001,0.001,0.02148353289204951,0.5818757670022023,58.32411128299782,0.00987804119992591,2.320883053679799,461.89599609375
4,0.24405701458454132,0.23324622213840485,0.3629177212715149,0.24922096729278564,0.15705710649490356,0.3619176149368286,0.13531315326690674,0.13305073976516724,0.2827783524990082,0.134181946516037,57.03403091430664,50.69436264038086,52.15861892700195,80.14876556396484,40.06975173950195,55.76378631591797,63.36891555786133,55.76787185668945,59.56635284423828,345720.03125,115370.5234375,69199.046875,1650.7218017578125,27.76978874206543,943336.25,944735.9375,46562.01171875,944036.125,0.2322952151298523,58.006814245999976,10.097897401999944,68.10471249300008,274.3154715540004,0.001,0.001,0.021154928609044485,0.7218787459960367,57.283145275004244,0.012445107267513345,2.68803603600624,463.8564453125
5,0.23098546266555786,0.4213755130767822,0.499573290348053,0.6276224851608276,0.4387276768684387,0.3658047914505005,0.3012826442718506,0.2952420115470886,0.48293206095695496,0.2982623279094696,58.72111892700195,47.842037200927734,49.059017181396484,78.06217956542969,44.87226486206055,62.55939483642578,69.93183135986328,54.9588737487793,66.24561309814453,308689.40625,102250.953125,48734.4140625,1346.9814453125,27.68507194519043,847984.4375,851792.0625,38090.01171875,849888.25,0.2337222546339035,57.934789136999825,9.956642225999985,67.89143227300019,342.2333274910002,0.001,0.001,0.021128661246170615,0.5708489729991015,57.36173983200115,0.009853676225665764,3.3245671907829686,463.8564453125
6,0.2255273163318634,0.3724919855594635,0.5173994302749634,0.5820087790489197,0.4154830574989319,0.38895130157470703,0.16563165187835693,0.16547787189483643,0.4759606122970581,0.16555476188659668,53.56466293334961,47.039974212646484,47.623634338378906,70.5987319946289,38.581382751464844,55.173213958740234,62.37104415893555,50.96092987060547,58.77212905883789,334499.625,100413.25,51633.03125,1374.590576171875,27.175159454345703,926650.625,926899.1875,38362.01171875,926774.875,0.20601804554462433,57.17698149800026,9.489846889000091,66.6668297250003,408.9251695560001,0.001,0.001,0.020852290845368437,0.5558316339997873,56.61888313400004,0.009721633702156765,3.389429110773774,481.73046875
7,0.22521105408668518,0.45121797919273376,0.5440117120742798,0.6179758310317993,0.5666490793228149,0.3959846496582031,0.2849036455154419,0.2977830171585083,0.5311553478240967,0.2913433313369751,53.592044830322266,46.59926986694336,46.05015182495117,71.82144165039062,38.730735778808594,54.85984802246094,63.49079513549805,50.80039978027344,59.175323486328125,309383.125,97605.4296875,49361.625,1183.572021484375,27.018308639526367,857865.875,850255.125,37044.4140625,854060.5,0.20351365208625793,57.363586679000036,9.670718321000095,67.03430633700009,475.98693907100005,0.001,0.001,0.020920345251276454,0.571909244996732,56.78996821600322,0.009970197460596896,3.552830099366432,481.73046875
8,0.21043916046619415,0.3446758985519409,0.4383932948112488,0.4467427730560303,0.5318219065666199,0.2588539719581604,0.17822176218032837,0.2140216827392578,0.418953001499176,0.1961217224597931,50.81118392944336,47.11201858520508,47.74182891845703,48.38738250732422,38.61087417602539,56.776573181152344,66.23841094970703,45.46302795410156,61.50749206542969,331358.90625,108321.140625,59402.890625,1230.213134765625,29.928577423095703,919632.75,899536.6875,42246.04296875,909584.75,0.20130543410778046,56.864926346000175,9.83325251899987,66.698179815,542.6883956850002,0.001,0.001,0.02073848517359598,0.6397972929967182,56.22297426400337,0.011251602330979873,4.672290658534959,481.73046875
9,0.1979469656944275,0.36350634694099426,0.48276615142822266,0.5808733701705933,0.46345096826553345,0.34026408195495605,0.15584182739257812,0.15784180164337158,0.46683865785598755,0.15684181451797485,52.622161865234375,47.162113189697266,46.53858947753906,63.50312805175781,40.66304016113281,55.56028366088867,62.30583953857422,49.46671676635742,58.93305969238281,336700.59375,103953.8515625,51703.109375,1316.98095703125,28.237045288085938,932071.0625,931130.25,39250.546875,931600.625,0.19156989455223083,56.87202817100024,9.75707439200005,66.62910379899995,609.344093913,0.001,0.001,0.020741075190007383,0.5718064839975341,56.298431608002375,0.01005458220646999,5.735717629970506,483.89208984375
10,0.19566291570663452,0.43543171882629395,0.5306172370910645,0.6182316541671753,0.5254086256027222,0.34522390365600586,0.28072506189346313,0.31238383054733276,0.5048703551292419,0.29655444622039795,48.723087310791016,44.79445266723633,44.27120590209961,48.116512298583984,36.51487350463867,56.22571563720703,62.4157600402832,43.42426300048828,59.32073974609375,308563.0625,99028.609375,49345.09765625,1238.6103515625,28.13070297241211,860368.625,841369.25,37410.109375,850868.9375,0.18279938399791718,56.70658688000003,9.712995992999822,66.41958384100008,675.767360801,0.001,0.001,0.02068073919766595,0.5526299039961486,56.15191888800382,0.009745777292457975,8.167511779208516,483.89208984375
