experiment_name,model,comparison,epoch,cumulative_training_seconds,val_loss,val_smape,val_resource_smape,val_timing_smape,parameters,peak_gpu_memory_mb,test_smape,test_resource_smape,test_timing_smape,run_dir
hx_sequence_gru_archives4_seed42,hierarchical_sequence,equal_epoch,22,2016.3146337289945,0.10823498259891164,38.76116943359375,40.141090393066406,36.001319885253906,289233,2880.2666015625,44.16488075256348,44.8314847946167,42.83167266845703,/home/brend/projects/ll-hls4ml/artifacts/results/hierarchical_architecture_gauges/hx_sequence_gru_archives4_seed42
hx_sequence_gru_archives4_seed42,hierarchical_sequence,equal_wall_time,22,2016.3146337289945,0.10823498259891164,38.76116943359375,40.141090393066406,36.001319885253906,289233,2880.2666015625,44.16488075256348,44.8314847946167,42.83167266845703,/home/brend/projects/ll-hls4ml/artifacts/results/hierarchical_architecture_gauges/hx_sequence_gru_archives4_seed42
hx_sequence_gru_archives4_seed42,hierarchical_sequence,best_validation,22,2016.3146337289945,0.10823498259891164,38.76116943359375,40.141090393066406,36.001319885253906,289233,2880.2666015625,44.16488075256348,44.8314847946167,42.83167266845703,/home/brend/projects/ll-hls4ml/artifacts/results/hierarchical_architecture_gauges/hx_sequence_gru_archives4_seed42
hx_block_attention_archives4_seed42,hierarchical_block_attention,equal_epoch,22,1930.5642651689996,0.11662883311510086,40.07826232910156,41.42485046386719,37.38508605957031,289744,1611.2890625,42.48277282714844,41.98587512969971,43.4765682220459,/home/brend/projects/ll-hls4ml/artifacts/results/hierarchical_architecture_gauges/hx_block_attention_archives4_seed42
hx_block_attention_archives4_seed42,hierarchical_block_attention,equal_wall_time,23,2012.5100100980198,0.12119575589895248,42.272884368896484,38.09483337402344,50.628990173339844,289744,1611.2890625,42.48277282714844,41.98587512969971,43.4765682220459,/home/brend/projects/ll-hls4ml/artifacts/results/hierarchical_architecture_gauges/hx_block_attention_archives4_seed42
hx_block_attention_archives4_seed42,hierarchical_block_attention,best_validation,24,2093.7166344800207,0.10316412895917892,37.45795822143555,36.373329162597656,39.627220153808594,289744,1611.2890625,42.48277282714844,41.98587512969971,43.4765682220459,/home/brend/projects/ll-hls4ml/artifacts/results/hierarchical_architecture_gauges/hx_block_attention_archives4_seed42
hx_memory_dual_archives4_seed42,hierarchical_memory_dual,equal_epoch,22,1971.1561416510085,0.11230997741222382,39.65121078491211,38.17630386352539,42.60102844238281,334994,2735.482421875,43.22531763712565,43.43503665924072,42.80587959289551,/home/brend/projects/ll-hls4ml/artifacts/results/hierarchical_architecture_gauges/hx_memory_dual_archives4_seed42
hx_memory_dual_archives4_seed42,hierarchical_memory_dual,equal_wall_time,22,1971.1561416510085,0.11230997741222382,39.65121078491211,38.17630386352539,42.60102844238281,334994,2735.482421875,43.22531763712565,43.43503665924072,42.80587959289551,/home/brend/projects/ll-hls4ml/artifacts/results/hierarchical_architecture_gauges/hx_memory_dual_archives4_seed42
hx_memory_dual_archives4_seed42,hierarchical_memory_dual,best_validation,24,2135.340830387984,0.11082416772842407,38.755550384521484,39.851722717285156,36.56321716308594,334994,2735.482421875,43.22531763712565,43.43503665924072,42.80587959289551,/home/brend/projects/ll-hls4ml/artifacts/results/hierarchical_architecture_gauges/hx_memory_dual_archives4_seed42
