split,kernel_family,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
test,all,lut,0.6106332540512085,39.501800537109375,65197.8125,-6.997529983520508,-119.5712661743164,-45.4320068359375,20.983400344848633,0.025327769840167057,294
test,all,ff,0.6091818809509277,42.83993911743164,49826.8828125,-2.3389129638671875,-71.59416961669922,-44.956787109375,21.765491485595703,0.025327769840167057,294
test,all,dsp,0.6446608304977417,40.00031661987305,766.83203125,0.0,-75.52478790283203,-47.87194061279297,0.0,0.025327769840167057,294
test,all,bram,0.4328534007072449,39.850379943847656,31.80668830871582,0.0,-54.11780548095703,-35.65380096435547,16.634098052978516,0.025327769840167057,294
test,all,cycles_max,0.7746360301971436,47.1092643737793,491049.75,-5.15472412109375,-39.240821838378906,-54.7449836730957,29.658475875854492,0.025327769840167057,294
test,all,interval_max,0.8798519968986511,52.886165618896484,358608.6875,9.39291763305664,-13.834095001220703,-46.00996398925781,42.4825439453125,0.025327769840167057,294
test,2layer,lut,-0.024806737899780273,31.049304962158203,7017.21923828125,-18.905330657958984,-27.116313934326172,-49.811439514160156,5.33405876159668,0.025327769840167057,52
test,2layer,ff,-0.1787189245223999,29.720809936523438,4378.0556640625,-16.44636344909668,-26.921466827392578,-44.87875747680664,7.184633255004883,0.025327769840167057,52
test,2layer,dsp,0.300378680229187,30.136404037475586,3.5529141426086426,0.0,-17.674169540405273,-41.127601623535156,0.0,0.025327769840167057,52
test,2layer,bram,0.0051198601722717285,33.443511962890625,2.0355875492095947,-22.41835594177246,-14.54190731048584,-39.416290283203125,3.8101348876953125,0.025327769840167057,52
test,2layer,cycles_max,-0.1269305944442749,41.108463287353516,2231.00244140625,11.019905090332031,-11.41118335723877,-26.9545841217041,38.88792037963867,0.025327769840167057,52
test,2layer,interval_max,-0.618091344833374,51.5653076171875,1556.082763671875,29.991493225097656,15.912749290466309,10.335537910461426,51.74100875854492,0.025327769840167057,52
test,3layer,lut,0.0049141645431518555,31.259998321533203,10145.267578125,0.6280408501625061,-6.8989152908325195,-31.462322235107422,26.21433448791504,0.025327769840167057,55
test,3layer,ff,-0.003509998321533203,24.98390769958496,5623.4638671875,-0.477407306432724,-6.179518699645996,-27.34516143798828,23.516983032226562,0.025327769840167057,55
test,3layer,dsp,0.19272547960281372,37.143280029296875,7.227973937988281,0.0,-3.5204873085021973,-39.353729248046875,14.580326080322266,0.025327769840167057,55
test,3layer,bram,-0.07760584354400635,43.629459381103516,9.27290153503418,-5.028554439544678,-1.456089973449707,-37.59711456298828,20.56494140625,0.025327769840167057,55
test,3layer,cycles_max,-0.23096895217895508,46.2806510925293,3424.3994140625,8.82837963104248,1.029242753982544,-39.714054107666016,46.583518981933594,0.025327769840167057,55
test,3layer,interval_max,-0.41304242610931396,55.23765563964844,1590.78857421875,29.68284797668457,8.021218299865723,-41.57757568359375,56.435462951660156,0.025327769840167057,55
test,conv1d,lut,0.4846312403678894,28.508508682250977,7519.4541015625,-25.837770462036133,-27.171337127685547,-44.6135368347168,0.3965545892715454,0.025327769840167057,27
test,conv1d,ff,0.3969559669494629,26.108190536499023,12623.609375,-9.99492073059082,-11.404911994934082,-36.686683654785156,14.17371940612793,0.025327769840167057,27
test,conv1d,dsp,0.3842697739601135,29.892274856567383,1.608177900314331,-31.572696685791016,-35.210208892822266,-50.51128387451172,0.0,0.025327769840167057,27
test,conv1d,bram,0.01860058307647705,56.467288970947266,11.324082374572754,19.99746322631836,-23.813547134399414,-79.01522064208984,39.44274139404297,0.025327769840167057,27
test,conv1d,cycles_max,0.28415608406066895,45.838111877441406,134911.234375,17.074697494506836,-3.9052538871765137,-24.06865119934082,43.579994201660156,0.025327769840167057,27
test,conv1d,interval_max,0.16531920433044434,54.7281494140625,145679.640625,36.32368850708008,15.335395812988281,1.1913831233978271,51.180458068847656,0.025327769840167057,27
test,conv2d,lut,0.6559005975723267,30.90443229675293,28509.08203125,-26.77859115600586,-27.78169059753418,-32.661163330078125,-5.106684684753418,0.025327769840167057,12
test,conv2d,ff,0.3968951106071472,30.65088653564453,143815.453125,6.553332328796387,-1.2217937707901,-29.325439453125,14.012751579284668,0.025327769840167057,12
test,conv2d,dsp,0.3754427433013916,37.09723663330078,14.103336334228516,0.0,-28.92997932434082,-66.3201904296875,0.0,0.025327769840167057,12
test,conv2d,bram,0.22744804620742798,49.253726959228516,69.99334716796875,-9.035698890686035,-8.618546485900879,-39.50647735595703,38.436004638671875,0.025327769840167057,12
test,conv2d,cycles_max,0.6656031012535095,56.66313934326172,2422116.0,-24.31747817993164,-44.78565979003906,-107.86476135253906,29.008153915405273,0.025327769840167057,12
test,conv2d,interval_max,0.8231338262557983,55.904571533203125,1761513.875,-40.39847946166992,-69.1142807006836,-123.17915344238281,20.936574935913086,0.025327769840167057,12
