split,kernel_family,target,n_samples,mean_delta_smape,median_delta_smape,fraction_improved
exemplar,all,lut,799,12.545915630097193,13.824233103981985,0.3304130162703379
exemplar,all,ff,799,6.74023853184143,5.55790314600614,0.4230287859824781
exemplar,all,dsp,799,15.943083547656471,2.4373675140191864,0.295369211514393
exemplar,all,bram,799,21.89111140961532,18.722056277304702,0.28035043804755944
exemplar,all,cycles_max,799,-16.827979350830017,-15.148479992012625,0.6307884856070087
exemplar,all,interval_max,799,23.67162101613071,20.078320239862943,0.38172715894868586
exemplar,exemplar,lut,799,12.545915630097193,13.824233103981985,0.3304130162703379
exemplar,exemplar,ff,799,6.74023853184143,5.55790314600614,0.4230287859824781
exemplar,exemplar,dsp,799,15.943083547656471,2.4373675140191864,0.295369211514393
exemplar,exemplar,bram,799,21.89111140961532,18.722056277304702,0.28035043804755944
exemplar,exemplar,cycles_max,799,-16.827979350830017,-15.148479992012625,0.6307884856070087
exemplar,exemplar,interval_max,799,23.67162101613071,20.078320239862943,0.38172715894868586
test,2layer,lut,125,-0.6250171137953429,-0.12013260060571618,0.504
test,2layer,ff,125,-5.829068543806519,-4.598566908856808,0.664
test,2layer,dsp,125,0.05693203945372892,0.0,0.384
test,2layer,bram,125,-0.6764537766265407,-0.633067911867851,0.504
test,2layer,cycles_max,125,1.3772004016480022,0.0,0.48
test,2layer,interval_max,125,4.565589443928984,5.473657510148934,0.2
test,3layer,lut,116,-5.1800908592647446,-4.062754808798945,0.5948275862068966
test,3layer,ff,116,-5.675709028373339,-3.3527032686689062,0.5948275862068966
test,3layer,dsp,116,-2.8433443278718924,0.0,0.4051724137931034
test,3layer,bram,116,-2.656225024594985,-2.1046976024723505,0.5775862068965517
test,3layer,cycles_max,116,-0.5265157177357601,-0.11170243845459926,0.5
test,3layer,interval_max,116,3.964812016338162,4.0076947115217845,0.29310344827586204
test,all,lut,593,-1.1228844572004164,-0.892909948477099,0.5160202360876898
test,all,ff,593,-0.3017168554537822,0.0,0.49409780775716694
test,all,dsp,593,2.7321858661593534,0.0,0.327150084317032
test,all,bram,593,-3.135715357489946,0.0,0.45699831365935917
test,all,cycles_max,593,-2.333256169044916,0.0,0.4924114671163575
test,all,interval_max,593,2.300675978325633,2.89153541411474,0.3827993254637437
test,conv1d,lut,55,1.6123910103260142,-0.7820560097916375,0.509090909090909
test,conv1d,ff,55,8.07189122253405,8.303539445431781,0.2909090909090909
test,conv1d,dsp,55,-0.06325282061312491,0.0,0.2545454545454545
test,conv1d,bram,55,-12.728294115931588,-9.413174833203065,0.6909090909090909
test,conv1d,cycles_max,55,-2.799204561478721,-1.116349541469944,0.509090909090909
test,conv1d,interval_max,55,-1.239965749609482,0.0,0.4909090909090909
test,conv2d,lut,24,14.413254380107427,10.268986298805814,0.16666666666666666
test,conv2d,ff,24,10.508941055741287,8.017780718044781,0.375
test,conv2d,dsp,24,6.225498175214195,0.0,0.20833333333333334
test,conv2d,bram,24,6.505083742751733,4.59708143617166,0.375
test,conv2d,cycles_max,24,1.1712913249211763,2.034109675973312,0.4166666666666667
test,conv2d,interval_max,24,-9.72819813877244,-13.566782819763203,0.7083333333333334
test,dense_latency,lut,90,1.392507868118019,-0.030268111085387073,0.5
test,dense_latency,ff,90,2.985726852009336,5.1004695414478425,0.35555555555555557
test,dense_latency,dsp,90,-0.3208181815837159,0.0,0.3111111111111111
test,dense_latency,bram,90,0.0,0.0,0.0
test,dense_latency,cycles_max,90,0.6036080286210554,-0.5918724786366635,0.5111111111111111
test,dense_latency,interval_max,90,-0.26915134183871237,-0.2528060248184145,0.5
test,dense_resource,lut,59,0.4519855164562863,-0.43478233494101204,0.5084745762711864
test,dense_resource,ff,59,5.566018945997927,3.385957261570953,0.3728813559322034
test,dense_resource,dsp,59,2.2205207691362547,0.0,0.2711864406779661
test,dense_resource,bram,59,4.837969631424035,0.0,0.3220338983050847
test,dense_resource,cycles_max,59,7.475342693974336,6.141329908894476,0.2711864406779661
test,dense_resource,interval_max,59,3.5046960759941888,1.712394182172765,0.3559322033898305
test,rule4ml,lut,124,-4.624558617038472,-3.2082254546992592,0.5403225806451613
test,rule4ml,ff,124,-0.6869469120068717,-0.05812593584217751,0.5
test,rule4ml,dsp,124,13.667963835693518,0.0,0.2903225806451613
test,rule4ml,bram,124,-9.744406643258257,-13.377320506412204,0.6048387096774194
test,rule4ml,cycles_max,124,-15.034030787334249,-9.823527008180122,0.5967741935483871
test,rule4ml,interval_max,124,3.6516564887228817,4.007200097459858,0.46774193548387094
