timestamp,utilization_gpu_percent,utilization_memory_percent,memory_used_mb,power_draw_w,clock_sm_mhz,temperature_c,pstate
2026/08/20 10:08:46.227, 0, 0, 211, 28.26, 585, 60, P0
2026/08/20 10:08:47.240, 0, 0, 333, 28.16, 585, 60, P0
2026/08/20 10:08:48.249, 6, 1, 653, 28.16, 585, 60, P0
2026/08/20 10:08:49.259, 17, 0, 727, 35.13, 1035, 60, P0
2026/08/20 10:08:50.272, 8, 0, 757, 38.76, 1590, 61, P0
2026/08/20 10:08:51.278, 44, 9, 777, 36.51, 1590, 62, P0
2026/08/20 10:08:52.286, 48, 5, 777, 46.94, 1590, 62, P0
2026/08/20 10:08:53.294, 8, 0, 777, 39.82, 1590, 62, P0
2026/08/20 10:08:54.301, 41, 8, 777, 34.14, 1485, 62, P0
2026/08/20 10:08:55.307, 42, 8, 837, 38.59, 1590, 63, P0
2026/08/20 10:08:56.315, 16, 2, 847, 39.78, 1590, 63, P0
2026/08/20 10:08:57.326, 8, 0, 899, 38.07, 1590, 63, P0
2026/08/20 10:08:58.333, 65, 14, 899, 37.58, 1590, 63, P0
2026/08/20 10:08:59.340, 16, 2, 899, 44.97, 1590, 64, P0
2026/08/20 10:09:00.346, 12, 4, 899, 38.17, 1590, 64, P0
2026/08/20 10:09:01.352, 8, 1, 899, 37.28, 1590, 64, P0
2026/08/20 10:09:02.361, 47, 3, 899, 42.76, 1590, 64, P0
2026/08/20 10:09:03.368, 15, 2, 899, 38.37, 1590, 64, P0
2026/08/20 10:09:04.375, 12, 3, 899, 38.17, 1590, 64, P0
2026/08/20 10:09:05.382, 64, 3, 899, 39.43, 1590, 65, P0
2026/08/20 10:09:06.391, 21, 4, 899, 43.35, 1590, 65, P0
2026/08/20 10:09:07.398, 13, 1, 939, 40.71, 1590, 65, P0
2026/08/20 10:09:08.404, 8, 1, 939, 37.97, 1590, 65, P0
2026/08/20 10:09:09.411, 47, 8, 939, 44.76, 1590, 65, P0
2026/08/20 10:09:10.423, 55, 3, 939, 43.15, 1590, 65, P0
2026/08/20 10:09:11.429, 14, 5, 939, 38.56, 1590, 65, P0
2026/08/20 10:09:12.442, 68, 13, 953, 43.74, 1590, 66, P0
2026/08/20 10:09:13.452, 77, 6, 953, 45.92, 1590, 66, P0
2026/08/20 10:09:14.466, 11, 1, 953, 39.75, 1590, 66, P0
2026/08/20 10:09:15.473, 22, 6, 953, 38.37, 1590, 66, P0
2026/08/20 10:09:16.481, 76, 5, 953, 43.45, 1590, 66, P0
2026/08/20 10:09:17.487, 7, 0, 953, 39.82, 1590, 66, P0
2026/08/20 10:09:18.494, 10, 3, 953, 38.76, 1590, 66, P0
2026/08/20 10:09:19.500, 95, 1, 953, 43.65, 1590, 67, P0
2026/08/20 10:09:20.513, 8, 0, 953, 39.23, 1590, 67, P0
2026/08/20 10:09:21.521, 11, 1, 953, 53.12, 1590, 67, P0
