comparison,split,n,baseline_smape,candidate_smape,smape_improvement,ci95_low,ci95_high,sample_win_fraction
historical_h0 -> canonical_h0,test,593,24.553047169612594,28.089761156150455,-3.536713986537857,-4.549262166775723,-2.510935541226524,0.3608768971332209
historical_h0 -> canonical_h0,exemplar,886,74.81409093070083,91.98489258506798,-17.170801654367143,-18.65285405421588,-15.690864288018414,0.19074492099322798
canonical_h0 -> region_hardware,test,593,28.089761156150455,29.068608150928874,-0.978846994778425,-1.952064699625064,-0.018721275650462634,0.5295109612141653
canonical_h0 -> region_hardware,exemplar,886,91.98489258506798,99.86606053905109,-7.881167953983117,-9.25808098575981,-6.498888007641478,0.33860045146726864
