epoch,train_loss,val_r2,val_r2_lut,val_r2_ff,val_r2_dsp,val_r2_bram,val_r2_cycles_max,val_r2_interval_max,val_resource_r2,val_timing_r2,val_smape,val_smape_lut,val_smape_ff,val_smape_dsp,val_smape_bram,val_smape_cycles_max,val_smape_interval_max,val_resource_smape,val_timing_smape,val_rmse,val_rmse_lut,val_rmse_ff,val_rmse_dsp,val_rmse_bram,val_rmse_cycles_max,val_rmse_interval_max,val_resource_rmse,val_timing_rmse,val_loss,train_seconds,validation_seconds,epoch_seconds,cumulative_training_seconds,train_seconds_per_sample,data_wait_seconds,compute_submission_seconds,data_wait_fraction,peak_gpu_memory_mb
1,0.37248679995536804,0.10166522115468979,0.1890469789505005,0.09764289855957031,-0.026739120483398438,0.2976478934288025,0.020683646202087402,0.03170901536941528,0.1393996626138687,0.026196330785751343,69.58546447753906,53.16237258911133,57.34989547729492,108.95038604736328,47.34004592895508,70.19087982177734,80.51921844482422,66.70067596435547,75.35504913330078,368371.0,130165.2265625,75863.5703125,1821.8173828125,29.13477325439453,1003918.875,998427.5,51969.9375,1001173.1875,0.304676353931427,106.98792393599979,15.82566177600006,122.81358729999988,123.44080089199997,0.0390182071247264,1.2332307419987956,105.75232292600117,0.011527077252184773,1478.24462890625
2,0.2515917122364044,0.2821006774902344,0.3939761519432068,0.2949219346046448,0.19807159900665283,0.32693445682525635,0.1890486478805542,0.28965121507644653,0.3034760355949402,0.23934993147850037,52.8392333984375,49.07299041748047,52.56708908081055,43.318721771240234,41.63167953491211,62.0323600769043,68.41255950927734,46.647621154785156,65.22245788574219,324990.03125,112523.171875,67059.859375,1610.06201171875,28.520875930786133,913554.625,855164.0,45305.40234375,884359.3125,0.19898721575737,103.48875395100004,15.258130529000027,118.74688592799998,242.22921861200007,0.03774206927461708,0.7785751009976138,102.70620700900236,0.007523570955292936,1515.79052734375
3,0.1878364235162735,0.3549659252166748,0.4915674924850464,0.41799432039260864,0.42961907386779785,0.3560643792152405,0.18935179710388184,0.24519848823547363,0.42381131649017334,0.21727514266967773,48.33819580078125,45.069068908691406,45.4853630065918,37.87616729736328,43.877662658691406,57.220123291015625,60.50078201293945,43.077064514160156,58.860450744628906,326712.90625,103065.609375,60926.69921875,1357.8673095703125,27.896865844726562,913383.875,881515.5625,41344.51953125,897449.75,0.1593339592218399,101.78595006599994,14.98301205200005,116.76896336100003,359.03433691600003,0.03712106129321661,0.6658155330005684,101.11715073799928,0.006541522195647323,1675.51416015625
4,0.17244748771190643,0.37127685546875,0.5136580467224121,0.40924209356307983,0.5004653930664062,0.30968332290649414,0.22557246685028076,0.2690398097038269,0.4332622289657593,0.24730613827705383,47.20216369628906,43.60033416748047,46.75216293334961,38.61110305786133,40.94959259033203,54.839683532714844,58.46011734008789,42.478294372558594,56.64990234375,320618.59375,100801.734375,61383.1015625,1270.74267578125,28.884069442749023,892745.125,867482.0,40871.12109375,880113.5625,0.15197274088859558,101.81195745599985,15.509218438000062,117.32117762999997,476.39037635900013,0.03713054611816187,0.7557282989973828,101.05299099900253,0.0074230213699606916,1675.51416015625
5,0.16015030443668365,0.435490220785141,0.5822118520736694,0.5471457839012146,0.7504989504814148,0.34675395488739014,0.18461847305297852,0.20171213150024414,0.5566526651382446,0.19316530227661133,49.05879592895508,43.646629333496094,44.23212432861328,45.83564376831055,43.3505744934082,56.821189880371094,60.46662902832031,44.26624298095703,58.6439094543457,328449.46875,93427.59375,53743.16796875,898.0716552734375,28.097816467285156,916046.5625,906553.375,37024.234375,911300.0,0.15721116960048676,100.60098175200005,14.286162081999919,114.88714508899989,591.3163991479998,0.03668890654704597,0.5897216689982088,100.00836209200156,0.005862156086384959,1675.51416015625
6,0.155945286154747,0.4103982150554657,0.5855847001075745,0.4824954867362976,0.67716383934021,0.34153932332992554,0.18523675203323364,0.19036900997161865,0.5216958522796631,0.18780288100242615,49.2884635925293,43.69050979614258,44.1082878112793,39.19266891479492,43.23944854736328,58.960628509521484,66.53923034667969,42.55773162841797,62.74993133544922,330036.9375,93049.703125,57451.46484375,1021.5647583007812,28.209741592407227,915699.1875,912971.375,37887.734375,914335.25,0.1579863727092743,99.75118301500015,14.92131475999986,114.67249885399997,706.0258014240001,0.03637898724106497,0.6077540889991724,99.14070030300081,0.006092867229909834,1687.27197265625
7,0.14729253947734833,0.30922070145606995,0.5148325562477112,0.35576313734054565,0.3412095904350281,0.2936244010925293,0.19250351190567017,0.15739113092422485,0.37635743618011475,0.1749473214149475,47.0467529296875,43.920623779296875,46.73952102661133,40.73030471801758,41.407447814941406,52.62346267700195,56.85917282104492,43.19947052001953,54.74131774902344,334875.96875,100679.9375,64101.296875,1459.31298828125,29.21810531616211,911606.5625,931379.375,41567.44140625,921493.0,0.15031848847866058,99.88225263000004,15.563169125000059,115.44542297299995,821.4734145489999,0.03642678797592999,0.6048381959967628,99.27446739000334,0.006055690840541265,1687.27197265625
8,0.1469559669494629,0.3857353925704956,0.4754979610443115,0.34580862522125244,0.6782084703445435,0.22110778093338013,0.29498255252838135,0.29880690574645996,0.4301556944847107,0.29689472913742065,45.250579833984375,44.61248016357422,47.11936569213867,38.38079833984375,39.02082443237305,50.63658905029297,51.7334098815918,42.28336715698242,51.18499755859375,311960.125,104681.6875,64594.63671875,1019.9105834960938,30.681238174438477,851798.875,849635.0625,42581.73046875,850717.0,0.1401999294757843,100.33099844700018,15.283952796999984,115.61495251800034,937.1256191700002,0.03659044436433267,0.7317369280031016,99.59512365399678,0.00729352960671019,1687.27197265625
9,0.14281000196933746,0.42562758922576904,0.6028220653533936,0.49173080921173096,0.5698449611663818,0.3460795283317566,0.2740362882614136,0.26925188302993774,0.5026193261146545,0.27164408564567566,42.65380096435547,41.186614990234375,42.50040817260742,37.29154586791992,37.9434814453125,47.608428955078125,49.39231872558594,39.73051452636719,48.50037384033203,313492.3125,91093.984375,56936.5234375,1179.1995849609375,28.11231803894043,864359.8125,867356.125,37309.453125,865858.0,0.12830771505832672,99.4214303660001,14.904602722000163,114.32603431300004,1051.4918799640002,0.03625872733989792,0.61268183500124,98.80534181099893,0.006162683711987969,1687.27197265625
10,0.13651472330093384,0.48220518231391907,0.5671486854553223,0.6381862759590149,0.7206602096557617,0.3336203694343567,0.30450958013534546,0.32910603284835815,0.5649038553237915,0.3168078064918518,39.46337127685547,40.68767166137695,41.228233337402344,33.22651672363281,37.868438720703125,41.225955963134766,42.54342269897461,38.252716064453125,41.88468933105469,303535.53125,95096.9296875,48038.18359375,950.2572631835938,28.37886619567871,846024.0,831075.625,36028.43359375,838549.8125,0.11574990302324295,99.67975408300026,15.088646415999847,114.76840187700009,1166.294871362,0.03635293730233416,0.5789351510084089,99.09774834999189,0.005808130153152608,1692.47509765625
