split,kernel_family,tensor_path,baseline_smape_lut,candidate_smape_lut,delta_smape_lut,delta_absolute_error_lut,baseline_smape_ff,candidate_smape_ff,delta_smape_ff,delta_absolute_error_ff,baseline_smape_dsp,candidate_smape_dsp,delta_smape_dsp,delta_absolute_error_dsp,baseline_smape_bram,candidate_smape_bram,delta_smape_bram,delta_absolute_error_bram,baseline_smape_cycles_max,candidate_smape_cycles_max,delta_smape_cycles_max,delta_absolute_error_cycles_max,baseline_smape_interval_max,candidate_smape_interval_max,delta_smape_interval_max,delta_absolute_error_interval_max
test,2layer,2layer/archive_1/0bc7e3b8-c2a6-427a-ab7b-97c8d1f26de3.pt,16.416309984992335,12.400357311490861,-4.015952673501474,-0.04664066957372239,23.16248035800406,19.8124554140802,-3.3500249439238594,-0.042051703521167716,0.0,0.0,0.0,0.0,23.061114054136887,24.31076477763639,1.249650723499503,0.012863826751708985,9.411403278955655,11.403939777987278,1.9925364990316226,0.022171083531723267,3.662551818528696,2.9779381830554286,-0.6846136354732675,-0.007077998119675187
test,2layer,2layer/archive_1/0ceedcf7-5069-43e5-b761-a592699392fc.pt,5.4026110308076465,14.530988579046959,9.128377548239312,0.10408704415439997,15.254285004661583,1.8684295228210104,-13.385855481840572,-0.12321771314168528,8.036024210631686,32.8032928496214,24.767268638989712,0.2700839042663574,11.529191805520131,16.1684318594447,4.639240053924567,0.04463354746500651,9.427538175716355,19.85756516671292,10.430026990996565,0.1215161331300813,5.723104907324297,12.555856552326425,6.832751645002128,0.062495173202190626
test,2layer,2layer/archive_1/11fe5594-fbbe-4031-ac3a-4b43ba75a01f.pt,34.93538089158538,11.734687283906055,-23.200693607679327,-0.1865567489409111,27.976388607721386,2.74171191275231,-25.234676694969075,-0.21837821436192914,67.43631763815696,26.957902315846454,-40.47841532231051,-0.2556432882944743,17.19272130506394,21.205015999548994,4.012294694485053,0.036826908588409424,13.904065009826038,21.955247954769142,8.051182944943104,0.09717014130283648,6.851123866694729,4.1132532806002144,-2.7378705860945143,-0.028931021341463414
test,2layer,2layer/archive_1/6979d03f-7ff1-4738-886e-3ee059a69d8a.pt,27.32141406691448,4.167753347062206,-23.153660719852272,-0.27386643981423436,17.792268318468675,3.6255452611605157,-14.16672305730816,-0.15967765231092437,25.83879904084577,24.797531336370458,-1.0412677044753131,-0.011374950408935547,0.5144086562576488,0.14709912572919154,-0.3673095305284572,-0.002949953079223633,2.08498028671891,6.079096089554072,3.9941158028351627,0.03835847462322695,2.496695107503686,6.603372607584858,4.106677500081172,0.04299650047451193
test,2layer,2layer/archive_1/80788302-2292-4caa-a003-821aed591a4a.pt,17.172802577611172,15.836297655102387,-1.3365049225087855,-0.011404919698142415,28.280710102264152,17.13210484660543,-11.148605255658723,-0.08996558178641215,0.0,0.0,0.0,0.0,53.15703496271075,62.62752595498719,9.470490992276439,0.14084482192993164,0.912418858332658,10.815063504588325,9.902644646255666,0.10523583032294569,2.2826118715583457,5.705486719223571,3.4228748476652253,0.035630710684781096
test,2layer,2layer/archive_1/81ae65ee-db11-4ff1-835c-a62e010c7087.pt,13.181201926579254,9.156915511934718,-4.024286414644536,-0.04514792644915803,12.543583959084804,8.31877569879512,-4.224808260289684,-0.047029180088013794,21.130817374197104,32.535191512313624,11.40437413811652,0.12690862019856772,1.8005638209325585,1.056380267176126,-0.7441835537564325,-0.0063840945561726885,22.75228973484957,19.294754079426287,-3.457535655423282,-0.02831052908697632,4.748892746436908,6.117443609510221,1.3685508630733123,0.012969644949231971
test,2layer,2layer/archive_1/b7ff2436-119d-4ba9-9b49-189b5fabbe4c.pt,0.518557669432793,13.366746030204716,12.848188360771923,0.12009053730974252,16.333380995608614,3.377317273725036,-12.956063721883577,-0.14349748018607858,12.088946362226828,21.65671286460512,9.56776650237829,0.09516565004984538,2.4936198561460547,5.1198673944715365,2.6262475383254817,0.021834182739257812,19.359674665094733,19.85436276662365,0.4946881015289186,0.006079901399180967,4.061803503572954,1.3231395943626072,-2.738663909210347,-0.026660478268179452
test,2layer,2layer/archive_1/b9c55cc1-33b8-4573-98e9-76d328fb262d.pt,7.664355079434323,30.22585763638996,22.561502556955638,0.28224662697016606,18.29847863480004,23.065267286501705,4.766788651701663,0.09306981318544956,19.862037173146664,49.1209948762001,29.258957703053436,0.4116469621658325,15.844097026969267,29.075154005612998,13.23105697864373,0.12610286474227905,14.116026561114069,5.896002892473307,-8.220023668640762,-0.0745715621163706,3.1786518074472117,3.6694636231327165,0.4908118156855048,0.0037325698561307113
test,2layer,2layer/archive_1/d18488ed-9367-45dc-9e7e-03a6dad1662e.pt,9.262891827783823,14.924588460715034,5.661696632931211,0.04175380539078855,23.609673919700036,3.6671059079384807,-19.942568011761555,-0.2303327888600515,8.545670440990682,18.124844753209253,9.579174312218571,0.07050697008768718,19.917528291754536,12.263730422826386,-7.65379786892815,-0.07244482040405273,11.388605819898444,10.890664681408012,-0.4979411384904324,-0.005583490322104019,3.9276032088852464,1.8735626254514712,-2.054040583433775,-0.019953944077020697
test,2layer,2layer/archive_1/d8705803-c54c-4ad6-bdd4-bea949213cf1.pt,4.003158919994556,17.037013245714814,13.033854325720258,0.11614382655701881,24.476607853690144,3.9815780940980137,-20.49502975959213,-0.23826204407485452,31.00114491044697,17.430493896987944,-13.570651013459027,-0.14661129315694174,30.65378593442265,36.82975872327376,6.175972788851112,0.03957095742225647,0.35264223766913744,1.1456994932880473,0.7930572556189099,0.00800207922246364,0.028646708579381112,4.079535149441143,4.050888440861762,0.041352170908118054
test,2layer,2layer/archive_1/e2d32045-fe85-41fa-87fd-34469cfd2b33.pt,13.453988735737449,25.446715166883006,11.992726431145558,0.0996820886955197,17.986882396293286,26.90949703746522,8.922614641171933,0.07215247145989459,30.95922750943156,14.477250303900293,-16.481977205531265,-0.11978302001953126,24.985132156847577,26.95203085566375,1.9668986988161734,0.0128402312596639,13.027743014002729,18.611645571166278,5.583902557163549,0.047954779519305775,1.549048373688416,1.190378263248274,-0.35867011044014196,-0.0037770626260736594
test,2layer,2layer/archive_1/e71cebc8-9c8d-4db4-af21-b5ffd3e7d1e9.pt,61.53044345534708,62.74623135516308,1.215787899816,0.025586153042724262,27.895483856873902,31.210676133904595,3.315192277030693,0.04564524265314569,0.4207575173958964,36.591755221750034,36.170997704354136,0.3697151343027751,6.251500799181579,16.519104810239103,10.267604011057525,0.08664852380752563,17.6710337689996,18.66183482583613,0.9908010568365313,0.011984357826239009,5.298353602367684,5.298353602367684,0.0,0.0
test,2layer,2layer/archive_1/ecfce556-484f-4093-a80c-893fda981e41.pt,6.7473580767805155,21.02569659021516,14.278338513434644,0.12498131277490591,7.960797950526105,4.179024617288736,-3.7817733332373695,-0.04197154277646341,7.291450473435205,12.421311798699561,5.129861325264356,0.04194002151489258,0.7382794918090576,4.246415422340284,3.5081359305312265,0.028521378835042317,1.7972440148364617,5.292352429238622,3.49510841440216,0.036223265195327016,4.419304642229846,7.156168570558194,2.736863928328348,0.029020634869550293
