split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,799,-0.784873773654302,81.85988489786784,6796.364634831746
exemplar,all,resource,799,-1.3945235311985016,74.09029769897461,9852.225907325745
exemplar,all,timing,799,0.4344257414340973,97.3990592956543,684.64208984375
exemplar,exemplar,overall,799,-0.784873773654302,81.85988489786784,6796.364634831746
exemplar,exemplar,resource,799,-1.3945235311985016,74.09029769897461,9852.225907325745
exemplar,exemplar,timing,799,0.4344257414340973,97.3990592956543,684.64208984375
test,2layer,overall,125,0.5166529814402262,15.10155193010966,1416.8678011099498
test,2layer,resource,125,0.2944387197494507,19.403944969177246,1959.9208422899246
test,2layer,timing,125,0.9610815048217773,6.496765851974487,330.76171875
test,3layer,overall,116,0.6354164977868398,15.305259943008423,1763.7089955409367
test,3layer,resource,116,0.47790293395519257,18.912546634674072,2414.341233789921
test,3layer,timing,116,0.9504436254501343,8.090686559677124,462.44451904296875
test,all,overall,593,0.6708231568336487,25.568202018737793,240673.92145474753
test,all,resource,593,0.7615403234958649,25.5162935256958,22739.585307121277
test,all,timing,593,0.4893888235092163,25.672019004821777,676542.59375
test,conv1d,overall,55,0.6626686354478201,28.66584539413452,37589.44573018948
test,conv1d,resource,55,0.7827105671167374,19.148158311843872,3224.9303140342236
test,conv1d,timing,55,0.42258477210998535,47.70121955871582,106318.4765625
test,conv2d,overall,24,0.6731045842170715,35.85652701059977,1127764.3214253585
test,conv2d,resource,24,0.8872998952865601,19.127506732940674,12115.607138037682
test,conv2d,timing,24,0.24471396207809448,69.31456756591797,3359061.75
test,dense_latency,overall,90,0.8968797425429026,13.680422147115072,17013.29197891553
test,dense_latency,resource,90,0.8623396307229996,15.238745212554932,25510.35319519043
test,dense_latency,timing,90,0.9659599661827087,10.563776016235352,19.169546365737915
test,dense_resource,overall,59,0.8293574055035909,17.28937880198161,12613.818611621857
test,dense_resource,resource,59,0.8100246787071228,15.361172676086426,18674.58425974846
test,dense_resource,timing,59,0.8680228590965271,21.145791053771973,492.28731536865234
test,rule4ml,overall,124,0.4154275357723236,54.922176361083984,27377.95980834961
test,rule4ml,resource,124,0.6153774559497833,54.20813274383545,40861.473808288574
test,rule4ml,timing,124,0.015527695417404175,56.350263595581055,410.9318084716797
