split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
test,conv1d,dsp,0,0.0,0.1,18,3.524041838116116e-05,0.0,3.524041838116116e-05,1.1533227833834562e-05
test,conv1d,dsp,9,0.9,1.0,37,1.0,1.0,0.0,1.1533227833834562e-05
test,conv1d,bram,9,0.9,1.0,55,1.0,1.0,0.0,0.0
test,conv2d,dsp,0,0.0,0.1,10,3.569796681404114e-05,0.0,3.569796681404114e-05,1.4874152839183807e-05
test,conv2d,dsp,9,0.9,1.0,14,1.0,1.0,0.0,1.4874152839183807e-05
test,conv2d,bram,9,0.9,1.0,24,1.0,1.0,0.0,0.0
test,dense_latency,dsp,0,0.0,0.1,28,2.200848289898464e-06,0.0,2.200848289898464e-06,6.847083568572998e-07
test,dense_latency,dsp,9,0.9,1.0,62,1.0,1.0,0.0,6.847083568572998e-07
test,dense_latency,bram,0,0.0,0.1,90,6.358408011810152e-05,0.0,6.358408011810152e-05,6.358408011810152e-05
test,dense_resource,dsp,0,0.0,0.1,24,5.344053109486898e-05,0.0,5.344053109486898e-05,2.1738521123336535e-05
test,dense_resource,dsp,9,0.9,1.0,35,1.0,1.0,0.0,2.1738521123336535e-05
test,dense_resource,bram,0,0.0,0.1,12,1.28369113857237e-08,0.0,1.28369113857237e-08,2.6108972309946508e-09
test,dense_resource,bram,9,0.9,1.0,47,1.0,1.0,0.0,2.6108972309946508e-09
test,rule4ml,dsp,0,0.0,0.1,34,5.908904848397737e-06,0.0,5.908904848397737e-06,0.01447679659487774
test,rule4ml,dsp,4,0.4,0.5,1,0.474609375,1.0,0.525390625,0.01447679659487774
test,rule4ml,dsp,7,0.7,0.8,1,0.78125,1.0,0.21875,0.01447679659487774
test,rule4ml,dsp,8,0.8,0.9,1,0.84375,1.0,0.15625,0.01447679659487774
test,rule4ml,dsp,9,0.9,1.0,87,0.9987877155172413,0.9885057471264368,0.01028196839080453,0.01447679659487774
test,rule4ml,bram,0,0.0,0.1,2,0.0012757554650306702,0.0,0.0012757554650306702,0.010904523273629514
test,rule4ml,bram,4,0.4,0.5,1,0.412109375,0.0,0.412109375,0.010904523273629514
test,rule4ml,bram,9,0.9,1.0,121,0.9994834710743802,0.9917355371900827,0.007747933884297509,0.010904523273629514
