split,kernel_family,tensor_path,baseline_smape_lut,candidate_smape_lut,delta_smape_lut,delta_absolute_error_lut,baseline_smape_ff,candidate_smape_ff,delta_smape_ff,delta_absolute_error_ff,baseline_smape_dsp,candidate_smape_dsp,delta_smape_dsp,delta_absolute_error_dsp,baseline_smape_bram,candidate_smape_bram,delta_smape_bram,delta_absolute_error_bram,baseline_smape_cycles_max,candidate_smape_cycles_max,delta_smape_cycles_max,delta_absolute_error_cycles_max,baseline_smape_interval_max,candidate_smape_interval_max,delta_smape_interval_max,delta_absolute_error_interval_max
test,2layer,2layer/archive_1/0bc7e3b8-c2a6-427a-ab7b-97c8d1f26de3.pt,16.416309984992335,33.97151217036663,17.555202185374295,0.230372916496862,23.16248035800406,48.127997786396016,24.965517428391955,0.3718118039805769,0.0,0.0,0.0,0.0,23.061114054136887,41.25363448043618,18.192520426299296,0.2072601318359375,9.411403278955655,9.463844843494243,0.05244156453858828,0.000577579128900872,3.662551818528696,30.287025776177284,26.62447395764859,0.22568837776224707
test,2layer,2layer/archive_1/0ceedcf7-5069-43e5-b761-a592699392fc.pt,5.4026110308076465,13.097880342197975,7.695269311390328,0.08755054999541431,15.254285004661583,0.11797581599078508,-15.136309188670797,-0.14054810848009527,8.036024210631686,7.569151830980386,-0.46687237965130013,-0.004423558712005615,11.529191805520131,22.251890905321538,10.722699099801407,0.10669247309366862,9.427538175716355,8.338467694796185,-1.0890704809201708,-0.018890291539634146,5.723104907324297,39.153888309665135,33.430783402340836,0.2717646868135221
test,2layer,2layer/archive_1/11fe5594-fbbe-4031-ac3a-4b43ba75a01f.pt,34.93538089158538,5.061685047407711,-29.87369584417767,-0.24803127235090228,27.976388607721386,0.348647130828966,-27.62774147689242,-0.2419433246416631,67.43631763815696,69.325836912191,1.8895192740340292,0.010056098302205404,17.19272130506394,51.40556638428646,34.21284507922252,0.3778456449508667,13.904065009826038,24.685414082236218,10.78134907241018,0.1321470199092742,6.851123866694729,0.5390887748001669,-6.312035091894562,-0.06553300066692073
test,2layer,2layer/archive_1/6979d03f-7ff1-4738-886e-3ee059a69d8a.pt,27.32141406691448,62.57888271441454,35.25746864750006,0.5942935414315864,17.792268318468675,52.749715799585346,34.957447481116674,0.5211376269257703,25.83879904084577,51.19516496679931,25.35636592595354,0.32613492012023926,0.5144086562576488,33.37278557845477,32.85837692219712,0.3163287162780762,2.08498028671891,5.1581718740081985,3.0731915872892888,0.0296466367464539,2.496695107503686,19.833538818143133,17.336843710639446,0.1551252054806128
test,2layer,2layer/archive_1/80788302-2292-4caa-a003-821aed591a4a.pt,17.172802577611172,41.392769050006464,24.219966472395292,0.18479721966911763,28.280710102264152,40.77875285054007,12.498042748275921,0.09095021747707802,0.0,0.0,0.0,0.0,53.15703496271075,60.78884585921641,7.631810896505655,0.11200094223022461,0.912418858332658,17.32846051557187,16.416041657239212,0.15036423877089136,2.2826118715583457,30.279693312944403,27.997081441386058,0.239825340734802
test,2layer,2layer/archive_1/81ae65ee-db11-4ff1-835c-a62e010c7087.pt,13.181201926579254,51.88097243546993,38.69977050889067,0.5594005525420984,12.543583959084804,47.70609590352724,35.162511944442436,0.4926487111253516,21.130817374197104,50.9599187637634,29.829101389566294,0.37297550837198895,1.8005638209325585,24.396205792730026,22.595641971797466,0.21640491485595703,22.75228973484957,32.31100493387158,9.55871519902201,0.07388211165186703,4.748892746436908,38.783816250455814,34.034923504018906,0.27842086716512626
test,2layer,2layer/archive_1/b7ff2436-119d-4ba9-9b49-189b5fabbe4c.pt,0.518557669432793,50.45185865522438,49.93330098579158,0.6695024782712552,16.333380995608614,63.088284655672744,46.75490366006413,0.743689023733632,12.088946362226828,54.69805871068597,42.60911234845914,0.520184596379598,2.4936198561460547,39.15301061958034,36.65939076343429,0.36926755905151365,19.359674665094733,19.462556387978406,0.10288172288367292,0.001261710624674987,4.061803503572954,28.527045627921044,24.46524212434809,0.20981416500347103
test,2layer,2layer/archive_1/b9c55cc1-33b8-4573-98e9-76d328fb262d.pt,7.664355079434323,37.54388399315215,29.879528913717827,0.3883748933559668,18.29847863480004,28.716340760719408,10.417862125919367,0.16765307757989034,19.862037173146664,21.889805231648708,2.027768058502044,0.056982994079589844,15.844097026969267,56.14957987506773,40.305482848098464,0.4564451575279236,14.116026561114069,17.245028805072618,3.129002243958549,0.026903210865287405,3.1786518074472117,24.728214874491886,21.549563067044673,0.1877180180017351
test,2layer,2layer/archive_1/d18488ed-9367-45dc-9e7e-03a6dad1662e.pt,9.262891827783823,16.33777130404511,7.074879476261286,0.08078186787625029,23.609673919700036,30.84227073998942,7.232596820289384,0.09695498916083213,8.545670440990682,19.652467321481986,11.106796880491304,0.0821978251139323,19.917528291754536,39.754797527917425,19.83726923616289,0.21997604370117188,11.388605819898444,5.11309443757193,-6.275511382326514,-0.06828215037677304,3.9276032088852464,22.91433629723646,18.986733088351215,0.16703651603987701
test,2layer,2layer/archive_1/d8705803-c54c-4ad6-bdd4-bea949213cf1.pt,4.003158919994556,28.521873018835525,24.518714098840967,0.29180141271062165,24.476607853690144,47.61560596265477,23.138998108964625,0.346024824246187,31.00114491044697,35.721768566295346,4.7206236558483745,0.05667797724405924,30.65378593442265,16.571785378001316,-14.082000556421335,-0.09866654872894287,0.35264223766913744,12.353855100441878,12.001212862772741,0.11282137532147925,0.028646708579381112,32.76645016863081,32.73780346005143,0.2812106177483854
test,2layer,2layer/archive_1/e2d32045-fe85-41fa-87fd-34469cfd2b33.pt,13.453988735737449,20.700580420353944,7.2465916846164955,0.104842267388718,17.986882396293286,17.501718362859233,-0.485164033434053,0.02677315698859425,30.95922750943156,6.165662961267766,-24.793564548163793,-0.1874518871307373,24.985132156847577,8.518142846434007,-16.46698931041357,-0.11094498634338379,13.027743014002729,18.94490559239735,5.917162578394622,0.05073948075110504,1.549048373688416,26.465523579320816,24.916475205632402,0.21805856477339278
test,2layer,2layer/archive_1/e71cebc8-9c8d-4db4-af21-b5ffd3e7d1e9.pt,61.53044345534708,114.04499207446102,52.51454861911394,1.764736656057859,27.895483856873902,86.23013925910446,58.33465540223056,1.1916018858650663,0.4207575173958964,64.24186681933656,63.821109301940666,0.785181442896525,6.251500799181579,58.48236997744846,52.23086917826688,0.5714781284332275,17.6710337689996,30.486954371008483,12.815920602008884,0.16583042160021982,5.298353602367684,22.480085803268334,17.18173220090065,0.1504309761964797
test,2layer,2layer/archive_1/ecfce556-484f-4093-a80c-893fda981e41.pt,6.7473580767805155,15.82171267482167,9.074354598041154,0.10653471891579377,7.960797950526105,28.70085676000053,20.740058809474426,0.2521786518354575,7.291450473435205,4.407581138109669,-2.883869335325536,-0.024501895904541014,0.7382794918090576,21.329306476965144,20.591026985156088,0.1928332249323527,1.7972440148364617,5.763799702518141,3.966555687681679,0.03788452828874025,4.419304642229846,20.984455778587638,16.56515113635779,0.14470146957067456
test,2layer,2layer/archive_1/f8730447-91f8-4ba9-8e61-8f68f3e2bcf2.pt,13.764262341319194,32.21177003838643,18.447507697067238,0.23613519750042997,15.488603591517414,32.86880100439422,17.380197412876807,0.22543235585162819,3.8819383767807647,1.1348243117918715,-2.747114064988893,-0.024765610694885254,43.71872871021409,35.13356267149947,-8.585166038714618,-0.05393214225769043,5.88597623144349,8.908085259979895,3.0221090285364056,0.024635845065842137,0.7283674007894257,32.25451914971397,31.526151748924544,0.27040598660016923
test,3layer,3layer/archive_1/1779f702-f865-451f-89d0-4f6b42a09e77.pt,17.165503861360182,15.428523798787392,-1.7369800625727905,-0.014850878533516222,24.943364040243225,15.832052694142291,-9.111311346100933,-0.07506563694955916,0.0,0.0,0.0,0.0,4.328295222103011,30.155519942362346,25.827224720259334,0.2590460777282715,2.435601636900523,6.709686875771388,4.274085238870866,0.04476222257118928,12.606951558471446,5.4480069415732455,-7.1589446168982,-0.08147915679359946
test,3layer,3layer/archive_1/182b1883-c1ef-4e91-b811-6a3d11a6d43f.pt,44.66491377211823,50.58532292956733,5.9204091574491,0.03862604074102693,27.44459609706614,27.791209333411082,0.34661323634494323,0.002675991520541533,55.83891498401099,126.2837629958644,70.4448480118534,0.33193108240763347,140.31942695952586,130.10553422860295,-10.213892730922908,-0.03526531566273083,8.988774669281815,12.58244293870102,3.5936682694192044,0.040146599561140806,3.5912703887567563,4.992017537452772,1.4007471486960155,0.014621701639048992
test,3layer,3layer/archive_1/1aefc079-3d88-4736-ab6a-8821bf651cfa.pt,68.88155762133654,6.365432298847821,-62.51612532248872,-0.44660058339090414,52.253290942253,13.521510175998577,-38.731780766254424,-0.2692643573204849,62.53581125760454,39.553440391786744,-22.9823708658178,-0.13952771100130948,8.151190979329625,40.6550600674821,32.50386908815247,0.3455659866333008,23.102206043696533,6.212723907558024,-16.88948213613851,-0.14294704093735267,5.42221275581786,14.287734653736159,8.865521897918299,0.09806687375332447
