model,split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
median,synthetic_test,lut,-0.18261826038360596,71.68966674804688,113625.53125,6.727176666259766,-1671.7711181640625,-58.65834045410156,61.270713806152344,2.5769729297101296e-07,294
median,synthetic_test,ff,-0.16162049770355225,75.59241485595703,85903.03125,6.100295543670654,-1454.272705078125,-58.04282760620117,62.810813903808594,2.5769729297101296e-07,294
median,synthetic_test,dsp,-0.05698108673095703,123.33611297607422,1322.5506591796875,20.0,-57.23577117919922,-300.0,91.00775146484375,2.5769729297101296e-07,294
median,synthetic_test,bram,-0.1298823356628418,102.19205474853516,44.89390182495117,0.0,-45.8070182800293,-100.0,74.19355010986328,2.5769729297101296e-07,294
median,synthetic_test,cycles_max,-0.018009185791015625,112.61450958251953,1043660.1875,-9.267271041870117,-2026.307861328125,-900.2086791992188,50.7894401550293,2.5769729297101296e-07,294
median,synthetic_test,interval_max,-0.018174290657043457,131.12234497070312,1043935.1875,0.0,-7743.92431640625,-3006.060546875,69.4298324584961,2.5769729297101296e-07,294
median,exemplar,lut,-0.09440004825592041,107.6142807006836,28759.36328125,-259.42041015625,-2422.123779296875,-824.0504150390625,-9.267999649047852,2.689750544959679e-08,400
median,exemplar,ff,-0.2541550397872925,120.7477798461914,19406.7421875,-348.47216796875,-31626.279296875,-1451.34521484375,-33.99882888793945,2.689750544959679e-08,400
median,exemplar,dsp,-0.0901947021484375,107.10169982910156,735.0342407226562,33.333335876464844,-14.489880561828613,-33.333335876464844,94.57898712158203,2.689750544959679e-08,400
median,exemplar,bram,-0.18414926528930664,87.47946166992188,2.7513632774353027,-100.0,-131.5813446044922,-300.0,0.0,2.689750544959679e-08,400
median,exemplar,cycles_max,-2.660637140274048,141.2825927734375,2634.8720703125,-891.4013061523438,-4820.09765625,-9055.8818359375,-275.5126647949219,2.689750544959679e-08,400
median,exemplar,interval_max,-1.7965266704559326,151.1809539794922,915.475341796875,-7784.615234375,-21742.658203125,-51150.0,-536.64599609375,2.689750544959679e-08,400
ridge_graph,synthetic_test,lut,0.6862491965293884,32.43075180053711,58525.625,-0.9884990453720093,-340.6914978027344,-29.754854202270508,17.169374465942383,4.77655104529366e-06,294
ridge_graph,synthetic_test,ff,0.5079318284988403,43.325130462646484,55909.9375,-1.0122618675231934,-39.56901168823242,-31.553546905517578,27.53813362121582,4.77655104529366e-06,294
ridge_graph,synthetic_test,dsp,0.16536420583724976,68.65959167480469,1175.24169921875,0.0,-73.29512023925781,-66.55793762207031,39.17256164550781,4.77655104529366e-06,294
ridge_graph,synthetic_test,bram,0.5558487176895142,34.53101348876953,28.147268295288086,-2.5999696254730225,-16.148611068725586,-23.837989807128906,13.952178955078125,4.77655104529366e-06,294
ridge_graph,synthetic_test,cycles_max,0.023367762565612793,41.17974090576172,1022230.4375,-0.2311703860759735,-24.863040924072266,-35.57874298095703,26.81539535522461,4.77655104529366e-06,294
ridge_graph,synthetic_test,interval_max,0.543788492679596,50.608245849609375,698788.25,-2.2883362770080566,-38.702354431152344,-42.26784133911133,31.962116241455078,4.77655104529366e-06,294
ridge_graph,exemplar,lut,-0.2687873840332031,64.94025421142578,30966.0390625,-18.466320037841797,-74.02168273925781,-119.24040985107422,37.248008728027344,2.6264275220455603e-06,400
ridge_graph,exemplar,ff,-3.271357536315918,108.92713165283203,35814.59375,64.48819732666016,-28.178625106811523,-6.865129470825195,83.77302551269531,2.6264275220455603e-06,400
ridge_graph,exemplar,dsp,-0.03392767906188965,96.92601776123047,715.814697265625,43.2191162109375,-12.591050148010254,-4.987389087677002,76.54116821289062,2.6264275220455603e-06,400
ridge_graph,exemplar,bram,0.04499632120132446,68.1033935546875,2.4708549976348877,-39.967166900634766,-87.97618103027344,-131.6144256591797,-2.3400096893310547,2.6264275220455603e-06,400
ridge_graph,exemplar,cycles_max,0.4990617632865906,101.21583557128906,974.7052001953125,-144.4993896484375,-790.8447875976562,-866.3782958984375,2.2963037490844727,2.6264275220455603e-06,400
ridge_graph,exemplar,interval_max,-0.12198734283447266,126.24554443359375,579.8706665039062,50.0,-155.96559143066406,-139.96653747558594,85.51408386230469,2.6264275220455603e-06,400
extra_trees_graph,synthetic_test,lut,0.7199787497520447,29.856765747070312,55290.3203125,1.6150569915771484,-323.28936767578125,-22.244659423828125,17.573640823364258,0.0005782165136057598,294
extra_trees_graph,synthetic_test,ff,0.849384069442749,30.55023193359375,30932.2734375,2.098498821258545,-33.85329055786133,-17.540054321289062,17.853986740112305,0.0005782165136057598,294
extra_trees_graph,synthetic_test,dsp,0.5548186302185059,35.11046600341797,858.31591796875,-3.3353137969970703,-23.437562942504883,-21.492401123046875,13.46274185180664,0.0005782165136057598,294
extra_trees_graph,synthetic_test,bram,0.5003594160079956,31.9976863861084,29.853801727294922,-0.47860953211784363,-16.770774841308594,-15.74378776550293,15.589386940002441,0.0005782165136057598,294
extra_trees_graph,synthetic_test,cycles_max,0.5311832427978516,27.336057662963867,708247.1875,0.6889587640762329,-11.92646598815918,-13.592462539672852,11.619440078735352,0.0005782165136057598,294
extra_trees_graph,synthetic_test,interval_max,0.5260258913040161,33.40760803222656,712262.0,-1.318269968032837,-24.677270889282227,-14.639751434326172,11.693201065063477,0.0005782165136057598,294
extra_trees_graph,exemplar,lut,-0.07305419445037842,92.99713134765625,28477.51171875,-149.61972045898438,-339.7068786621094,-428.45849609375,-63.75535583496094,0.00047440689500945156,400
extra_trees_graph,exemplar,ff,0.10518443584442139,85.46204376220703,16392.447265625,-87.76841735839844,-303.1695251464844,-338.5279235839844,22.132556915283203,0.00047440689500945156,400
extra_trees_graph,exemplar,dsp,-0.02521669864654541,122.30651092529297,712.7929077148438,-143.3996124267578,-371.1806335449219,-760.5253295898438,41.56057357788086,0.00047440689500945156,400
extra_trees_graph,exemplar,bram,-10.924055099487305,133.76734924316406,8.730853080749512,-363.39599609375,-389.9122314453125,-544.8644409179688,-204.807373046875,0.00047440689500945156,400
extra_trees_graph,exemplar,cycles_max,0.06856679916381836,106.48066711425781,1329.0982666015625,-37.276607513427734,-578.485107421875,-1175.8970947265625,31.888383865356445,0.00047440689500945156,400
extra_trees_graph,exemplar,interval_max,-0.2188739776611328,133.91957092285156,604.3890380859375,-15.284954071044922,-183.84986877441406,-443.02081298828125,85.3017578125,0.00047440689500945156,400
rbf_svr_graph,synthetic_test,lut,0.7955071330070496,23.645957946777344,47249.01171875,0.5255669355392456,-302.2684020996094,-17.574058532714844,11.088844299316406,0.0324345265952597,294
rbf_svr_graph,synthetic_test,ff,0.8071165680885315,28.13250160217285,35004.49609375,0.7630753517150879,-27.298730850219727,-11.319648742675781,14.537443161010742,0.0324345265952597,294
rbf_svr_graph,synthetic_test,dsp,0.49145078659057617,35.12529754638672,917.371337890625,0.0,-16.97273063659668,-21.917604446411133,13.345979690551758,0.0324345265952597,294
rbf_svr_graph,synthetic_test,bram,0.5443819761276245,32.79177474975586,28.50829315185547,-1.2364213466644287,-13.892826080322266,-11.877140998840332,14.781518936157227,0.0324345265952597,294
rbf_svr_graph,synthetic_test,cycles_max,0.47182750701904297,27.90445899963379,751746.0625,-0.6392694115638733,-16.152545928955078,-16.960729598999023,11.504694938659668,0.0324345265952597,294
rbf_svr_graph,synthetic_test,interval_max,0.45851796865463257,32.35159683227539,761297.6875,0.5005186200141907,-24.27008056640625,-14.77424144744873,11.844528198242188,0.0324345265952597,294
rbf_svr_graph,exemplar,lut,0.375227153301239,61.2072868347168,21729.62890625,4.737912654876709,-93.68441772460938,-59.07269287109375,34.7706298828125,0.015207293189996562,400
rbf_svr_graph,exemplar,ff,-0.09686005115509033,111.3505859375,18148.998046875,71.09239959716797,10.452280044555664,26.737991333007812,88.98592376708984,0.015207293189996562,400
rbf_svr_graph,exemplar,dsp,-0.03294694423675537,75.28960418701172,715.47509765625,0.0,-49.88169860839844,-82.56230926513672,42.00476837158203,0.015207293189996562,400
rbf_svr_graph,exemplar,bram,-0.3601313829421997,64.68352508544922,2.948730945587158,-9.412636756896973,-73.62017822265625,-62.58011245727539,29.683698654174805,0.015207293189996562,400
rbf_svr_graph,exemplar,cycles_max,0.6332201957702637,102.08384704589844,834.0343017578125,-110.98443603515625,-457.0946350097656,-763.3740234375,33.808284759521484,0.015207293189996562,400
rbf_svr_graph,exemplar,interval_max,-0.07557439804077148,110.99990844726562,567.7503662109375,22.59612274169922,-188.94476318359375,-175.73507690429688,76.02604675292969,0.015207293189996562,400
tabular_mlp_graph,synthetic_test,lut,0.7819488644599915,25.481679916381836,48790.22265625,-0.101141557097435,-34.976715087890625,-19.555891036987305,14.109956741333008,3.976220747916864e-05,294
tabular_mlp_graph,synthetic_test,ff,0.7551144957542419,27.818378448486328,39441.90625,-1.728729009628296,-12.482406616210938,-19.715391159057617,13.486867904663086,3.976220747916864e-05,294
tabular_mlp_graph,synthetic_test,dsp,0.6222988367080688,34.70681381225586,790.5927734375,0.0,-15.123543739318848,-21.260311126708984,19.526222229003906,3.976220747916864e-05,294
tabular_mlp_graph,synthetic_test,bram,0.5933665037155151,36.59306335449219,26.932233810424805,-3.7046031951904297,-16.90485191345215,-33.09295654296875,12.859417915344238,3.976220747916864e-05,294
